,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
91,0.734860557,19.68830465,66.21015856,87.61062895,91.43919006,95.50510734,84.01359072,0.626124066,0.109129706,0.296296296,-0.008271195,0.029386412,0.144984081,0.239383146,0.192151129,0.218149677,0.183767259,0.006123596,-0.031493921,-0.044073999,0
93,0.588668138,23.74712021,78.05428648,97.80960314,97.2937759,98.92118248,88.95429363,0.371284865,0.08757526,0.18899558,-0.006811937,0.037984706,0.182393521,0.297808737,0.214721173,0.233844325,0.201315463,0.001621101,-0.035709299,-0.044518989,0
104,0.285276252,20.096219,71.82692825,90.09836066,94.80007689,96.21548749,85.81859362,0.363647476,0.172899124,0.248132907,-0.006475369,0.029933503,0.160408542,0.244812474,0.207678184,0.224729016,0.180030689,0.002247067,-0.026112607,-0.047409479,0
105,0.234365123,24.66727026,75.68610589,94.66917495,96.09124696,97.30586713,80.50043141,0.137783874,0.156297513,0.337143728,-0.008193502,0.034533262,0.158546284,0.254741818,0.199360505,0.212230176,0.151274413,-0.006627081,-0.032133535,-0.043106917,0
106,0.333307458,24.15029425,74.14135985,94.59285138,95.59998291,97.31557377,86.92394518,0.162780064,0.230532165,0.399329371,-0.009455809,0.035632052,0.167654052,0.267490208,0.198818192,0.216263354,0.175353438,-0.002062962,-0.027702373,-0.042841651,0
107,0.215888205,23.29832503,76.85783392,98.61030751,98.50484856,98.78882657,90.30629853,0.290199665,0.110412774,0.324950465,-0.007911677,0.036362629,0.173759893,0.286119789,0.205013081,0.22554113,0.188270345,0.00071797,-0.029974679,-0.039668493,0
118,0.701723609,18.86555002,69.36092448,95.12604139,96.62487946,98.27653149,88.72814231,0.584666971,0.138660828,0.216505504,-0.006633812,0.028145334,0.161583483,0.278517723,0.220904857,0.269103318,0.214423433,0.004488886,-0.025672249,-0.054939006,0
119,0.224154195,21.69489994,75.88712712,96.39021768,98.06911872,99.71108899,86.69386253,0.857474636,0.095246184,0.277396738,-0.00784444,0.031451225,0.17250967,0.279148966,0.223880038,0.261513293,0.190201938,0.010702129,-0.035033952,-0.054415774,0
120,0.259247889,23.0982345,76.12362268,96.61058855,97.47533,98.26978012,85.55769564,0.468221308,0.138052667,0.418228929,-0.005743742,0.034038018,0.171148777,0.27348268,0.20611313,0.236327559,0.182078391,0.001757464,-0.033989307,-0.042482335,0
121,0.092384592,23.6296967,75.22601451,95.04111798,96.11474219,97.28077389,83.84059534,0.230452675,0.149845907,0.451150739,-0.008337884,0.038239844,0.170343876,0.26518777,0.197426423,0.21757786,0.165550485,-0.007644142,-0.031917609,-0.042945929,0
133,0.120852399,18.70393843,67.04649288,94.18758398,97.27418836,98.37467645,92.49697022,0.863283036,0.0926688,0.115872746,-0.00790539,0.025631512,0.154508874,0.274359286,0.23363173,0.277340353,0.220446691,0.015712997,-0.030320654,-0.054322045,0
134,0.211998327,23.1571577,78.0639613,95.32061274,98.25280875,99.8420187,95.20862188,0.826916025,0.142309797,0.153864867,-0.007405171,0.03292742,0.177148268,0.264045417,0.220809847,0.264581263,0.207105368,0.013936901,-0.03201684,-0.051182229,0
148,0.118155031,16.49977365,61.16850309,85.81699346,95.20910761,96.97996018,87.77502157,1.363206828,0.172899124,0.137174211,-0.011411028,0.024931461,0.143777743,0.245412096,0.224367604,0.267836273,0.216080815,0.018870413,-0.023486175,-0.038750596,0
150,0.561819558,23.97479333,75.46895996,95.63880677,98.22183775,99.62777008,97.35760042,0.718738541,0.134679318,0.126200274,-0.006797056,0.036145251,0.174538106,0.271773547,0.233388752,0.275838912,0.226605892,0.013214756,-0.029384643,-0.057704348,0
