FID,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19
0,0.950435677,23.1747397,54.98414405,65.22762698,75.48805314,81.39283241,68.80931838,0.267032465,0.068114091,0.152648543,-0.003107636,0.050832763,0.112959839,0.16698581,0.176121369,0.176998571,0.143749833,-0.00645814,-0.034629434,-0.041885622
1,1.099376647,41.38841105,79.38403655,88.53641494,91.73363334,90.7829813,44.52692175,0.050116123,0.119199659,0.269471117,-0.003480929,0.092390731,0.163676128,0.232074708,0.212771311,0.172067791,0.086425535,-0.017362418,-0.042542417,-0.043014698
2,1.032762494,40.61977684,74.65305026,80.08492341,79.81142184,76.95528913,27.37837604,0.040237769,0.083523853,0.097546106,-0.005125909,0.092616752,0.149761632,0.231858313,0.175949603,0.145905942,0.058889166,-0.018912315,-0.03810247,-0.042944927
3,0.719012595,41.92485287,81.7919914,88.5717347,89.46640951,82.61540121,21.38049688,0.027434842,0.068114091,0.12924859,-0.007642223,0.094161108,0.171689779,0.251497447,0.20314312,0.1501984,0.053395752,-0.019007022,-0.034942385,-0.039625768
4,1.251081872,38.00695668,68.08062349,78.11845871,86.77858943,88.69823123,60.85418109,0.158512422,0.080079594,0.162780064,-0.005840377,0.076712333,0.141246706,0.207472041,0.207726195,0.184711054,0.120195083,-0.006219274,-0.032290764,-0.036872089
5,0.824037932,34.22181983,65.76941682,71.03503697,70.87551796,75.85272776,42.49264197,0.171925011,0.091832391,0.099375095,-0.005633803,0.071381442,0.131484658,0.184489265,0.154090449,0.141534954,0.083687924,-0.009786298,-0.031226063,-0.041559577
6,1.651253027,30.62788592,68.21177103,80.09964642,81.06070315,82.47842968,57.82679034,0.112178022,0.180179087,0.236574834,-0.00735321,0.064352006,0.136886552,0.223307863,0.190800563,0.166147545,0.114970677,-0.011272256,-0.037071567,-0.046541188
7,1.461436877,45.9370756,84.29669444,95.58769956,93.09240036,89.37446074,48.74805229,0.043393228,0.143779272,0.272519433,-0.002150007,0.100609988,0.174212679,0.262277275,0.225661933,0.173225433,0.094147131,-0.023030816,-0.042853843,-0.046939529
8,1.376157966,42.7415639,80.11072292,90.36537019,91.00025631,85.29551337,30.84855436,0.018289895,0.094265037,0.179240969,-0.004800288,0.092309028,0.161672875,0.257859588,0.209465638,0.163577408,0.068762347,-0.021643257,-0.036292311,-0.043621372
9,1.251568107,47.86328656,82.54877721,93.52385835,94.45726003,79.84197796,21.91503636,0.0231672,0.165619161,0.188385917,-0.003101084,0.110041842,0.169921696,0.253463298,0.216631576,0.144673049,0.059125807,-0.022732299,-0.035753362,-0.043560795
