FID,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19
0,0.950435677,23.1747397,54.98414405,65.22762698,75.48805314,81.39283241,68.80931838,0.267032465,0.068114091,0.152648543
1,1.099376647,41.38841105,79.38403655,88.53641494,91.73363334,90.7829813,44.52692175,0.050116123,0.119199659,0.269471117
2,1.032762494,40.61977684,74.65305026,80.08492341,79.81142184,76.95528913,27.37837604,0.040237769,0.083523853,0.097546106
3,0.719012595,41.92485287,81.7919914,88.5717347,89.46640951,82.61540121,21.38049688,0.027434842,0.068114091,0.12924859
4,1.251081872,38.00695668,68.08062349,78.11845871,86.77858943,88.69823123,60.85418109,0.158512422,0.080079594,0.162780064
5,0.824037932,34.22181983,65.76941682,71.03503697,70.87551796,75.85272776,42.49264197,0.171925011,0.091832391,0.099375095
6,1.651253027,30.62788592,68.21177103,80.09964642,81.06070315,82.47842968,57.82679034,0.112178022,0.180179087,0.236574834
7,1.461436877,45.9370756,84.29669444,95.58769956,93.09240036,89.37446074,48.74805229,0.043393228,0.143779272,0.272519433
8,1.376157966,42.7415639,80.11072292,90.36537019,91.00025631,85.29551337,30.84855436,0.018289895,0.094265037,0.179240969
9,1.251568107,47.86328656,82.54877721,93.52385835,94.45726003,79.84197796,21.91503636,0.0231672,0.165619161,0.188385917
10,1.0759762,34.75900077,67.67320613,79.40123623,84.40236661,82.37534626,47.27351165,0.181679622,0.045724737,0.154473028
11,0.453683805,41.74188011,73.58882021,84.60306369,88.1549341,86.3757358,41.75034626,0.096326779,0.102779298,0.184881104
12,0.930653208,38.9562795,71.96237571,82.46973106,83.85022854,83.21178151,40.5622403,0.132296906,0.055342699,0.078452837
13,1.175874352,47.76799024,83.32921258,90.19295888,89.04908369,88.18485764,33.00402528,0.263374486,0.156073769,0.178191328
14,1.872003579,43.77015856,81.97043805,93.29642569,95.85202273,94.5907635,42.79551337,0.120713306,0.313811348,0.33427164
15,2.298632126,45.79346795,82.73689868,97.61784467,97.93348712,92.8464768,35.767616,0.041559712,0.206166758,0.254211519
16,1.883932966,45.53351274,81.68664338,96.29669444,98.28164381,86.59755886,21.98969875,0.007315958,0.129858253,0.125889436
17,3.081269267,45.36838777,83.01424348,97.36954891,98.23144944,81.03429681,18.75865651,0.014022253,0.158730159,0.18305662
18,1.104238994,32.50248981,73.52754636,86.6509003,91.59724892,87.74671053,43.19269014,0.134125895,0.06750593,0.235939643
19,1.4869057,45.1539158,80.37839291,91.93980113,94.26765242,88.02155471,34.8177308,0.051821369,0.101919484,0.214601433
20,1.20951309,46.18421647,75.11636657,89.24354441,91.06326627,87.44806094,40.2771786,0.017070569,0.046713097,0.145099832
21,2.145753712,48.50656406,81.93926364,95.09486697,96.52911273,90.23943054,21.84641933,0.025605853,0.136228182,0.266422801
22,1.124609443,43.54142146,81.44369793,94.51545284,94.95920373,90.24194945,33.07605482,0.067062948,0.2566187,0.432402846
23,1.727591874,43.75282933,81.26740124,98.01881215,98.70882994,94.57345048,42.13869715,0.031169784,0.217185566,0.173144338
24,2.193404713,43.47065998,79.83015318,95.69685568,98.54649921,87.39395776,17.40940466,0.01341259,0.122848629,0.139612864
25,3.15453434,43.6926211,81.11690406,97.10703954,98.48455722,81.32118205,15.33973253,0.012193263,0.131039336,0.120103643
26,0.874736218,32.61430512,75.96130073,87.9731255,89.59908582,83.73441828,35.15625,0.032921811,0.059453032,0.123151959
27,0.615470082,38.68673608,79.42488578,92.89868315,96.01755735,88.70650104,24.13179465,0.024386526,0.05959983,0.248132907
28,0.843530255,44.53100951,78.7680731,91.14969094,93.31404693,86.03704986,34.32089681,0.051211706,0.093426193,0.192043896
29,1.077982321,44.88503411,80.15802204,93.03225115,93.29638173,83.76146988,23.0230696,0.005486968,0.105559465,0.148757811
30,1.29477752,46.69760072,83.09594195,96.19994625,94.66658123,83.15681622,15.7353705,0.029263832,0.110077237,0.251181222
31,1.28706324,44.36034405,80.24939532,94.16715937,96.20765518,86.59864093,22.3781277,0.037799116,0.15530588,0.388007055
32,1.094981214,44.06473517,79.67428111,97.97903789,98.67038319,91.35539301,32.34504848,0.014668133,0.141959281,0.201798506
33,1.669030111,44.1012784,80.19887127,96.77936039,98.69815028,87.98584661,24.94156856,0.010364274,0.088791583,0.096936443
34,3.088076553,45.16523314,80.33109379,96.02807243,97.30338759,80.30198447,19.63729224,0.014022253,0.161979179,0.120103643
35,1.272962434,38.72204906,80.72776135,93.35476267,93.71288821,89.50388266,43.71970222,0.086572169,0.057308337,0.158730159
36,1.284228299,37.23540063,77.21472722,90.11571842,87.05839634,80.07920706,26.58846953,0.022557537,0.054734537,0.109739369
37,1.21461427,38.57627886,81.02445579,94.80874317,96.40416079,88.5376991,32.31018119,0.015241579,0.076817558,0.185337601
38,1.561299608,39.39746492,75.91507659,90.63430837,92.96260581,87.44265062,36.17230783,0.017680232,0.093656875,0.174973327
39,1.616080265,48.58788454,79.07766729,95.62454611,95.92571233,85.78492902,23.99043456,0.015851242,0.091832391,0.16582838
40,2.233762192,46.22136713,84.26444504,97.59991428,96.76086121,85.64495255,22.76012812,0.039018442,0.101813748,0.206675812
41,1.375439073,41.04617474,81.78769148,97.02025072,97.74766116,93.2371018,38.27653149,0.065233958,0.172109712,0.370978532
42,1.273448668,43.88501584,80.693362,97.5184828,98.68747063,91.65404259,31.94901316,0.01650165,0.173934197,0.181069959
43,1.963415701,43.39386547,80.06987369,95.50519661,98.07552651,89.4412223,27.25610284,0.014631916,0.117055327,0.117055327
44,3.297172466,44.03168855,80.32141897,95.88085779,98.20581828,83.92471959,24.64183691,0.016460905,0.105211944,0.178021643
45,1.171975888,39.6585843,81.59527009,95.37221177,98.64261609,95.21633969,43.75649238,0.116445664,0.131971052,0.124064952
46,1.79858214,35.34399422,73.49099704,89.09647944,91.50967577,84.78645384,37.0466153,0.040237769,0.073406295,0.081694864
47,1.952643403,35.95383295,79.93442623,92.50201559,94.32910419,89.41544435,36.41932701,0.0463344,0.07966916,0.090839811
48,1.736278623,47.48836789,85.26847622,96.74388605,97.7092039,90.86712683,30.36811807,0.035970127,0.070372977,0.172534675
49,2.640254398,47.90548185,74.71002419,93.42976535,93.23657568,84.33886972,27.88478186,0.029873495,0.077046276,0.167657369
50,2.315687908,47.72507567,83.25933889,98.21230852,97.94309881,88.74173609,20.26056094,0.017680232,0.119199659,0.215211096
51,1.416887903,43.48150156,82.68207471,98.23058318,98.82417019,93.58067299,43.25388266,0.089010822,0.259045354,0.318068479
52,1.506269218,42.48994895,80.24402042,97.16742811,98.53902345,93.99374461,44.36569425,0.0220022,0.189279041,0.210333791
53,2.050105015,44.43452743,79.46788498,94.94329481,98.22076979,92.80306299,37.44156856,0.029263832,0.166636259,0.098155769
54,2.6052455,44.49925464,80.51384037,96.79524269,99.0548507,92.01397474,34.67148546,0.052431032,0.225678857,0.146319159
55,0.892261061,27.25531915,69.04380543,86.53059038,91.91657055,92.06414474,67.60569456,0.167461191,0.066732995,0.228623685
56,0.897134141,40.13913358,83.05724268,97.00940607,98.28484771,95.37100949,51.73425367,0.064173084,0.083318129,0.209815727
57,1.554006088,34.00362155,74.1972588,89.33190003,93.10521594,90.96476801,54.67213115,0.14545899,0.069766313,0.17558299
58,1.247995946,44.3843368,83.89035206,96.64068799,98.6607715,95.43152701,47.10991669,0.14545899,0.148391413,0.24874257
59,2.468215332,47.93662291,82.78634776,96.72776135,98.30815386,94.03891101,49.22454702,0.089842318,0.121939382,0.187776254
60,2.406375509,47.07096716,79.04219296,95.70770385,96.18095604,90.2105696,41.17666091,0.032392128,0.090999539,0.157293096
61,2.558854631,49.37980987,89.95538834,99.35178715,99.66038703,97.33067299,56.83563417,0.069062462,0.119199659,0.280445054
62,1.384310179,44.66862834,80.82558452,98.28863209,98.51980008,90.83167417,36.51276539,0.075174184,0.291198525,0.417198808
63,1.478492659,44.22136713,84.22789573,98.97876915,99.33572558,92.66144391,47.24654875,0.061268503,0.292411852,0.146319159
64,2.053028863,44.29145774,79.91937651,95.90002687,98.64902388,93.96749481,40.28041415,0.012834617,0.180623974,0.131687243
65,2.782234929,45.78723404,81.76941682,96.71809707,97.77756418,87.1688956,27.83326143,0.010389928,0.196559004,0.147538485
66,0.972753207,32.52919873,81.7651169,88.2880946,90.13393335,88.77575312,55.77761001,0.284712696,0.152648543,0.362464271
67,0.520757359,32.31960163,81.96828809,95.02839387,97.23347262,97.03839162,70.10690789,0.160341411,0.076020191,0.352733686
68,0.780892921,37.0199214,81.83821553,95.54528353,94.75516983,95.1553063,70.64252943,0.179240969,0.029873495,0.189279041
69,1.168759339,37.31190584,81.94893846,95.1787154,95.86628094,93.41672438,56.20130713,0.245694254,0.077236514,0.297390987
70,1.812196711,48.43911272,87.32598764,98.39613007,99.48141005,96.53956025,55.08196721,0.15424478,0.16399939,0.369154047
71,2.610594082,51.89588049,84.81375974,97.60924483,98.6401505,96.60881233,53.76666378,0.053040695,0.154473028,0.276105334
72,1.785402395,50.63016669,82.04998656,97.22061502,98.29315333,94.30185249,53.65088296,0.035360463,0.072979383,0.225627927
73,2.039268314,47.74377546,87.52915883,99.18086536,99.3667631,96.59620362,59.76995325,0.088401158,0.112178022,0.258468649
74,1.671388927,44.99547306,84.56651438,98.97769417,99.35926283,97.23640928,62.98748921,0.184118275,0.318068479,0.421631197
75,1.873948517,45.17202354,86.60145122,99.48830959,99.81142184,96.48004675,54.2730696,0.034836817,0.195828012,0.19886882
76,2.424852428,44.98125311,83.90647675,97.98763773,99.36462017,97.02973511,56.92520776,0.02499619,0.170705685,0.153864867
77,2.37439112,43.54640109,82.20155872,95.17732776,95.74949105,88.63459879,37.6936894,0.045724737,0.209815727,0.162987289
78,0.972666891,27.12358533,75.52485891,89.81456598,84.53052245,87.0974723,68.57578774,0.576131687,0.125889436,0.181679622
79,0.77554434,34.99139882,83.50013437,93.82639076,94.45405613,94.04107514,70.79378775,0.419448255,0.181999078,0.349336991
80,1.291366363,30.93481213,81.17925289,97.20668595,97.7156222,98.51432652,84.51350416,0.151196464,0.104346138,0.24874257
81,0.708545921,32.982789,81.62429454,95.11421661,96.56435559,97.74266609,75.20342798,0.31824417,0.076628352,0.130146567
82,1.129523198,40.87686736,87.85487772,98.65627519,99.22786108,97.826134,64.64573234,0.285322359,0.177145769,0.281054717
83,1.788907894,47.72159348,88.46116635,99.27008869,99.6860182,98.56301939,72.73943054,0.242036275,0.162987289,0.313976528
84,2.328357918,51.71118153,87.29158828,98.51437786,99.64427301,98.68096434,67.33682479,0.114616674,0.134679318,0.287761012
85,1.793233558,52.29570402,85.87046493,98.15921997,99.38485198,98.46563366,69.90889024,0.065233958,0.086752894,0.173754001
86,2.261596714,50.56948846,89.63074442,99.14001612,98.24426503,95.56514236,61.74580159,0.153025453,0.164203612,0.243865264
87,1.625482588,47.59031236,87.47648482,99.38726149,99.67320261,95.80051073,60.79918033,0.137783874,0.290591861,0.466459892
88,1.598370442,43.40606609,85.86079011,99.00886858,99.70524157,97.38140582,59.61630021,0.034836817,0.21111893,0.259106843
89,2.176805111,39.69417717,81.22010212,96.9384574,99.53223119,98.23948234,57.82115651,0.017680232,0.153256705,0.203627496
90,1.373613016,34.18650973,76.17307175,93.03546555,98.37455679,97.38999137,53.00380886,0.058527663,0.208085612,0.215820759
91,0.734860557,19.68830465,66.21015856,87.61062895,91.43919006,95.50510734,84.01359072,0.626124066,0.109129706,0.296296296
92,1.122229678,28.5232868,80.22789573,96.39665702,96.19270366,97.69736842,83.75107852,0.475537266,0.178191328,0.35299497
93,0.588668138,23.74712021,78.05428648,97.80960314,97.2937759,98.92118248,88.95429363,0.371284865,0.08757526,0.18899558
94,0.568688508,32.99299949,82.30798173,97.06203793,98.79533513,98.84383089,74.2934124,0.220088401,0.123151959,0.133187375
95,2.157423345,37.63789131,85.70814297,99.08603879,99.42970652,98.53055748,77.76683691,0.452370066,0.18305662,0.243865264
96,3.489613029,44.31765822,88.46546627,99.03032251,99.71271733,98.57275796,67.78257118,0.197530864,0.16399939,0.282274044
97,3.13972584,50.63107015,87.25718893,98.9435337,99.48676738,98.57492209,68.87551939,0.076207895,0.130754728,0.318853833
98,3.194075716,50.02411637,84.01397474,98.57106241,99.47456107,98.59439924,75.27051593,0.030483158,0.11129356,0.238378296
99,3.299562885,48.35343542,87.00026874,98.48173149,98.06164296,94.23964625,61.89404432,0.057918,0.193263222,0.315195854
100,2.367476734,48.1564801,85.88443967,99.27247402,99.69135802,98.15075312,66.96505608,0.099984758,0.333880679,0.470717022
101,2.137820466,37.883182,81.84789035,97.75099111,99.11465676,98.91252597,80.08353532,0.046449089,0.294958341,0.21216278
102,0.859124112,35.76300143,81.52324644,96.48666024,99.06339442,98.9503982,70.04198407,0.045115074,0.203627496,0.231672001
103,0.672948819,29.79265483,74.45095404,89.6674356,95.36289461,96.97799827,69.43386427,0.073159579,0.177583166,0.226185033
104,0.285276252,20.096219,71.82692825,90.09836066,94.80007689,96.21548749,85.81859362,0.363647476,0.172899124,0.248132907
105,0.234365123,24.66727026,75.68610589,94.66917495,96.09124696,97.30586713,80.50043141,0.137783874,0.156297513,0.337143728
106,0.333307458,24.15029425,74.14135985,94.59285138,95.59998291,97.31557377,86.92394518,0.162780064,0.230532165,0.399329371
107,0.215888205,23.29832503,76.85783392,98.61030751,98.50484856,98.78882657,90.30629853,0.290199665,0.110412774,0.324950465
108,0.456574379,34.88684104,83.97635044,98.83794679,99.60698877,99.4506853,83.20427092,0.337753391,0.157513836,0.294958341
109,1.107628714,33.71570847,83.33781242,98.96156947,99.36349267,99.36906816,79.86410699,0.203017833,0.154092553,0.267642128
110,1.964874406,39.47215935,84.2450954,98.39505509,99.22892904,99.45427092,78.98521903,0.196311538,0.181232135,0.324950465
111,1.668271241,42.59257583,82.85407149,98.04138672,98.99282117,99.53947368,82.99503883,0.088401158,0.121939382,0.381039476
112,1.152263774,44.30772011,81.99301263,97.78420658,99.21077363,99.45427092,81.08390854,0.055479348,0.07765294,0.289590002
113,1.478153475,43.37528293,84.38161784,98.68422467,99.28446324,99.06476754,72.89689387,0.124980948,0.189138235,0.32007316
114,2.187603097,40.69805342,81.67266864,97.9360387,99.28980307,99.594478,81.7651169,0.102423411,0.259652018,0.370978532
115,1.509272496,36.93798099,79.9946251,96.89760817,98.8668888,99.08649698,77.93356342,0.067228945,0.192312359,0.178021643
116,0.699205493,35.70809053,80.06664875,95.42488578,98.73339314,98.52351165,70.37640207,0.030483158,0.156905674,0.104862064
117,0.463816492,31.75645088,77.56087073,92.0872174,96.60066641,97.25450148,67.7566868,0.062185642,0.157732534,0.169486359
118,0.701723609,18.86555002,69.36092448,95.12604139,96.62487946,98.27653149,88.72814231,0.584666971,0.138660828,0.216505504
119,0.224154195,21.69489994,75.88712712,96.39021768,98.06911872,99.71108899,86.69386253,0.857474636,0.095246184,0.277396738
120,0.259247889,23.0982345,76.12362268,96.61058855,97.47533,98.26978012,85.55769564,0.468221308,0.138052667,0.418228929
121,0.092384592,23.6296967,75.22601451,95.04111798,96.11474219,97.28077389,83.84059534,0.230452675,0.149845907,0.451150739
122,0.095999688,30.45676777,85.02553077,99.26283082,99.69883378,99.50008657,87.11262119,0.206675812,0.128612682,0.269471117
123,0.265095585,34.87599946,87.04756786,99.23783929,99.86970823,99.82635893,88.20766967,0.101813748,0.085750775,0.27853798
124,0.68753586,34.02489814,85.64149422,98.78849772,99.42863856,99.07375346,78.02869633,0.141441853,0.129826009,0.323121475
125,0.95268726,39.12313264,84.1655469,98.23595808,99.58028963,99.65049342,82.38783434,0.265203475,0.083318129,0.278616065
126,0.789926368,40.41874151,84.57188928,98.58532653,99.66463088,99.78899758,82.97264543,0.128638927,0.120726055,0.18899558
127,0.888350789,44.35876587,85.46089761,99.21140041,99.80563031,99.47195291,75.96195464,0.104862064,0.083719576,0.234110654
128,0.691002831,44.05885016,84.72453641,99.0346681,99.39125977,98.42968076,56.7033847,0.068891937,0.093656875,0.267032465
129,0.36759343,39.74015392,82.80677237,98.84762161,99.29514289,98.99909107,58.22907679,0.087181832,0.22628552,0.284619595
130,0.621805087,35.13807153,79.79897877,96.08492341,98.43009099,99.04561981,72.06977147,0.03850385,0.141352617,0.194482548
131,0.683205902,36.3631025,82.69282451,96.79011019,99.12213251,98.82163262,70.07877424,0.031702484,0.165419936,0.11766499
132,0.512491369,31.20552286,79.0346681,94.03942998,98.36494511,98.76833477,77.86097645,0.070111264,0.126792691,0.185947264
133,0.120852399,18.70393843,67.04649288,94.18758398,97.27418836,98.37467645,92.49697022,0.863283036,0.0926688,0.115872746
134,0.211998327,23.1571577,78.0639613,95.32061274,98.25280875,99.8420187,95.20862188,0.826916025,0.142309797,0.153864867
135,0.200283613,22.45631507,79.33781242,97.41144854,97.38882481,98.65932306,93.02934557,1.462581923,0.233500991,0.253603357
136,0.075852613,25.88003622,77.44799785,95.63773179,97.96659405,98.97636773,89.0271786,0.717573541,0.250562549,0.372194855
137,0.100385461,31.98822997,82.67884977,98.18707811,99.29407493,99.34643352,87.27060249,0.282883707,0.145350605,0.234142188
138,0.32942025,36.33012603,86.1972588,98.25208277,99.66359093,99.14797239,75.20667417,0.074378906,0.079865874,0.171079133
139,0.524647237,35.56360344,84.26337006,98.39075517,99.42543466,98.57059384,73.7534626,0.095107453,0.108252752,0.215897342
140,0.625216243,38.38750566,84.50846547,98.28433217,99.39766756,99.45572195,81.51855047,0.149367474,0.10608139,0.200085143
141,0.597926992,40.36260751,83.4238108,98.18543402,99.28854602,99.51198927,89.66953774,0.136564548,0.15143222,0.177583166
142,0.833892503,45.23106112,83.65278151,97.67705989,98.68426674,97.68330159,62.44373269,0.066453285,0.061424314,0.136228182
143,1.342046401,49.46355817,86.45632894,98.98306907,98.73873297,95.85742019,36.10089162,0.059137327,0.101813748,0.220154473
144,0.853341891,39.56903576,82.64875034,98.27465735,98.90426759,97.56319252,48.03278689,0.060356653,0.260293134,0.334878303
145,0.647145106,34.07469443,81.40499866,96.98575652,98.78465547,96.1294581,71.1175554,0.052560812,0.223803442,0.171501551
146,0.647145106,35.6882143,81.08035474,95.5893577,99.34320133,99.29774065,79.39858899,0.049992379,0.179850633,0.110685398
147,0.416703134,34.24717067,81.34372481,95.56305582,99.30795848,99.23101812,86.47203947,0.073769242,0.201909627,0.174542358
148,0.118155031,16.49977365,61.16850309,85.81699346,95.20910761,96.97996018,87.77502157,1.363206828,0.172899124,0.137174211
149,0.316538787,23.88003622,78.12953507,96.93630744,98.80852888,99.69154443,97.10872576,1.29797287,0.158730159,0.119807821
150,0.561819558,23.97479333,75.46895996,95.63880677,98.22183775,99.62777008,97.35760042,0.718738541,0.134679318,0.126200274
151,0.46289543,24.52738796,76.8589089,95.07014243,98.36601307,99.45247576,95.05929709,1.55829904,0.240831965,0.47248895
152,0.266354868,27.47351743,78.42730449,95.12496641,98.61698492,99.19278047,90.48964625,0.499314129,0.237812128,0.563328761
153,0.137118184,31.77953825,84.426767,97.85278046,99.6336879,99.26960699,79.38560422,0.053650358,0.130432672,0.288370675
154,0.303896685,34.84121606,81.5361462,97.18032787,99.42329873,99.14473684,78.13149238,0.054260021,0.078452837,0.229885057
155,0.476915911,36.20823902,82.91534534,97.75759205,99.23747277,98.28925727,73.07717278,0.105471727,0.136499308,0.229233349
156,0.372455777,38.95246718,83.83230314,98.0962107,99.31757017,99.10513331,79.20081967,0.149367474,0.134403698,0.318853833
157,0.360786144,36.79402445,80.83633432,97.19967751,98.7495982,99.21009349,80.10409453,0.14266118,0.144385935,0.193263222
158,0.90094898,45.78669196,84.60951357,98.05635916,99.08688966,98.77185769,58.57427285,0.067672611,0.124366037,0.192043896
159,1.748986201,46.86781349,86.19833378,98.85084655,98.69815028,96.5336497,34.65309037,0.048773053,0.084534452,0.282274044
160,1.556890295,44.16296967,89.07067992,99.08196721,97.44008715,87.29873615,42.64775669,0.067672611,0.291198525,0.424496746
161,0.615573125,33.45359891,79.91507659,95.95915077,95.54444872,83.29726454,67.0771295,0.054394328,0.265718654,0.202408169
162,0.386556583,35.41310927,82.31228164,96.9653319,99.29514289,99.52064578,83.42278393,0.100594422,0.157513836,0.120713306
163,0.380368336,33.01177003,78.41010481,94.1583628,99.32931778,99.49201898,83.07435942,0.090230148,0.178359096,0.15241579
164,0.340850522,19.35176401,69.52109648,92.38187078,95.59143919,96.81007618,92.33606557,4.770614236,0.149607736,0.214601433
