FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20
0,0,0.102676934,8.463631017,22.35817711,29.52867482,33.6216019,42.20912894,56.73881919,56.76065908,64.72008542,84.53601385,90.86864394,92.39778085,98.27829166,99.89954128,97.43805965,96.79074959,47.25560128,0.540161561,0.071507151
1,0,0.057308337,8.188485515,22.16064624,28.76482394,32.89633333,40.22948161,56.33417457,54.81690893,60.04210245,78.51481144,87.01531552,87.43616611,95.94747213,99.50316633,95.99359363,96.05304666,36.6669715,0.268861454,0.099984758
2,0.000611172,0.047060262,7.94284874,22.46181984,29.14431673,33.14324541,40.17017465,56.2304351,54.74774928,60.89325147,78.6687514,86.70919016,88.4629548,94.75478152,98.37450527,92.69979787,90.92744633,37.13495104,0.285322359,0.041457095
3,0,0.044615573,8.241046327,23.03813715,28.3360431,33.01344037,39.93081757,55.99747628,55.45633235,63.29262536,83.17861076,90.98998485,92.95237751,95.87187455,97.42467507,85.7494722,80.63044481,36.9151044,0.188530074,0.067672611
4,0,0.037799116,3.904641702,16.04816339,21.69129721,26.07136791,37.03719393,55.41993254,56.00354292,66.83006139,90.65554274,96.68576327,98.65860947,98.9931757,98.22516284,92.66119052,87.40687714,53.30650815,0.432251181,0.064624295
5,0,0.010389928,2.150715072,12.67550678,17.78203491,21.27470656,33.75897169,51.39107962,56.2886748,68.47533306,91.01499619,97.02443118,99.12706989,99.88256974,99.95642754,99.56548577,98.97159886,78.24538942,1.615607377,0.126809938
6,0,0.001833517,2.011444956,11.01026769,16.32228397,18.48443301,31.73466794,51.38015967,56.06056929,68.0063821,90.98877748,96.81800027,99.32733536,99.82398597,99.98671891,99.83802082,99.58018879,83.77076665,3.220823451,0.143625474
7,0,0.006096632,2.084708471,12.19082457,17.0692696,21.20476799,32.65277786,53.63452159,57.73132083,70.61867553,92.85895838,98.15634263,99.54602805,99.97109409,99.99576379,99.7300347,99.3751365,82.95566502,3.146471574,0.068891937
8,0.000611172,0.006111722,1.214954416,10.74287456,15.2940461,19.25974908,31.68867479,51.26671358,55.72205101,68.59273066,91.68060175,97.19587803,99.16594402,99.65638216,99.85934114,99.85899469,99.74398796,89.32601738,10.28989483,0.10791038
9,0,0.010973937,1.649348103,10.6544734,15.9642401,19.33467129,30.68711345,49.38484312,55.10810745,68.41648669,91.88585503,97.78628304,99.39872864,99.96988968,99.9933431,99.91688709,99.84066168,92.91815272,21.46806889,0.163389727
10,0,0.003667033,1.716171617,10.85136291,14.08733529,17.87291611,29.94584936,46.74416916,52.75364605,66.65230896,91.6540589,97.38603916,99.25808161,99.92412198,99.98188942,99.92295372,99.77068116,91.1775644,14.63054187,0.080475537
11,0,0.007945239,1.512719341,10.57277854,15.17971173,19.16438606,31.76371625,50.82748914,55.58858502,68.21871436,92.58552723,97.84800474,99.58587133,99.96095252,99.99455344,99.91688709,99.86289403,87.08367627,5.933851547,0.089231145
12,0,0.001828989,0.767021147,7.871361073,12.36209937,15.88245286,26.15981409,43.6112257,48.24620859,62.73811546,87.08318708,93.70113916,95.81645528,98.53724045,99.25625872,98.9300541,99.12546372,74.78128334,3.414113702,0.090839811
13,0,0,0.854082933,7.296174062,10.53895994,13.09371769,22.2479757,39.36761387,42.33177219,55.65110565,80.8323624,88.29513006,92.49771162,95.67834487,97.57197448,96.61360382,97.19357422,78.25092745,6.912970584,0.111568358
14,0,0.003667033,1.830460824,13.85886298,19.79565773,25.6515567,36.27670556,56.83467204,58.12686549,68.73195176,91.16568427,97.01175377,98.72501494,99.86751457,99.99636896,99.73124803,99.12640443,79.55189758,2.033692149,0.100594422
15,0,0.001828989,2.142559553,12.80902301,17.80940218,22.60414766,34.86946418,56.10970904,56.98391128,68.69555194,92.57345351,97.70881495,99.09367924,99.8789565,99.97947467,99.80331877,99.18323907,82.13747904,4.210333791,0.125590611
16,0,0.001833517,1.391639164,12.68793546,17.35388919,23.16302264,34.66733639,54.67191633,57.24416996,69.13538305,91.44335311,97.19527435,99.16027262,99.91109189,99.99757931,99.74156131,99.43276954,81.90214906,3.265965554,0.10791038
17,0,0.002438653,2.173193805,14.36732205,20.41058992,24.14158,36.12336929,55.59525832,57.40311582,69.77783979,93.2934726,97.64743524,99.11535867,99.85787927,99.99396314,99.64449513,99.31811012,76.71513489,2.373418686,0.114289207
18,0,0.001833517,2.37966866,13.8832495,20.00912242,25.1383193,37.03779911,56.94447815,58.55698998,70.7114414,94.78415203,98.4050613,99.49109261,99.85702614,99.99455344,99.71375316,99.24405522,86.02809706,3.568083683,0.162780064
19,0,0.010389928,3.214154749,15.1775644,20.1423098,25.53447063,36.05197226,54.5657502,57.74224077,69.42961489,93.02538096,98.38574335,99.65831366,99.95061907,99.99879263,99.78948773,98.95775195,87.82868465,4.021947874,0.092059137
20,0,0.028044505,3.902190962,17.27661655,25.048957,28.74901174,39.21521163,56.68421947,58.52726346,70.70906841,94.48834584,98.52398301,99.63927832,99.92791234,100,99.72700138,99.20041738,87.99146472,4.714525225,0.096326779
21,0,0.026280406,2.491749175,14.04968755,21.1240263,24.97755345,36.78259452,56.67147953,58.21907836,72.5721323,94.92380872,98.63868783,99.66133209,99.97892277,99.99939631,99.82103424,99.39427112,92.62856272,9.290047249,0.103642737
22,0,0.018335167,1.965493579,12.38469745,18.72955057,21.893815,33.76865446,54.73925599,58.25062486,71.84595598,95.93900356,98.95743409,99.81753144,99.95664113,99.99879263,99.80089808,99.46310272,91.7384545,8.618257009,0.097176384
23,0,0.020728547,2.079207921,11.95513996,18.34397616,20.76306147,32.48568766,53.37365624,56.52406028,72.26030721,96.82944056,98.96467833,99.8520969,99.91409554,99.99697413,99.75976122,99.40607634,89.86498814,7.703703704,0.092059137
24,0,0.010389928,1.697137536,12.10242341,19.02011696,21.33065742,34.68116318,55.43145915,57.05610425,72.05250481,96.77503298,98.98875589,99.88377415,99.93917715,99.99215208,99.80526099,99.55056863,91.26291724,7.875019052,0.103642737
25,0.004267642,0.010364274,1.21501039,11.10196616,15.77510187,18.67856536,31.4036383,51.49724575,54.08709263,69.474508,93.59187197,97.47840313,99.18079795,99.78193483,99.968531,99.82449982,99.68878158,91.04465783,12.98120781,0.139003201
26,0,0.011612272,1.524360357,11.80551745,19.10296175,21.65541568,35.23861972,54.6640297,59.13392705,74.21497731,96.13173406,99.07394551,99.84545636,99.9632654,100,99.93144701,99.67968162,91.53543667,17.81984454,0.135954885
27,0,0.006111722,1.882168415,12.01870187,19.50191571,24.07301803,34.63407567,55.27493994,58.4332306,72.038875,97.12826519,98.43283087,99.52365467,99.8048851,99.96913618,99.82588755,99.51225445,87.5994513,11.90611187,0.165627674
28,0.001222344,0.003048316,1.821904413,11.0501448,16.86888786,18.50878793,30.77486353,50.89747159,55.28585988,69.09716324,94.9062587,97.48323262,99.32688999,99.88526048,99.97524887,99.87563396,99.68210828,91.07636031,14.42219174,0.135954885
29,0,0.006722895,2.141334183,11.44459686,16.44894484,19.49756121,31.60576609,51.30796671,55.6656298,69.88961644,94.40624453,98.58450031,99.78260346,99.84523293,99.98305516,99.77427046,99.60809532,91.88043544,11.56297513,0.126809938
30,0,0.012834617,1.469869209,10.39359492,16.46658152,19.18932068,31.72619552,50.30151181,54.8290422,69.51394113,93.76512988,98.17384953,99.59915242,99.84981738,99.97766361,99.8349875,99.41859758,87.7567444,7.242798354,0.224965706
31,0,0.003048316,1.520684247,10.99222679,18.106185,21.94908879,32.92564398,51.90067704,56.46400058,72.05586158,96.00767359,99.15665051,99.89858073,99.74225562,99.54663173,95.16671116,86.71710063,55.04465783,5.075445816,0.153635117
32,0.000611172,0.01650165,2.382960518,12.14509983,17.22742605,21.45228973,32.5117101,51.34557985,55.32953966,69.3228421,93.52607018,98.06880814,99.03646962,98.09943633,96.5795621,68.07954394,50.82263583,9.955799421,0.508459076,0.065843621
33,0,0.057308337,6.336388589,20.58527663,25.23444627,29.77868912,38.76738359,55.51760538,57.12344391,68.83326458,91.87736774,96.967081,98.02956855,97.8956411,97.92633822,69.3094955,48.78428511,9.105319311,0.116158852,0.058061362
34,0.000611172,0.055616673,9.09485393,22.03825938,29.49400961,32.87964483,41.37543843,57.64092795,58.97255454,69.68325244,90.60664417,95.43094371,96.36086621,94.48559522,93.11676208,54.11014584,39.79409838,4.137322873,0.081694864,0.160341411
35,0,0.078230045,10.10623958,24.86084438,30.06988765,35.28173457,41.41985694,58.17236526,56.98391128,64.64607246,84.90516939,92.54990975,94.12251206,95.37017013,93.76573357,57.41700052,41.05656531,3.558603871,0.029263832,0.078036885
36,0,0.07133059,9.515611215,24.34324036,30.33083987,35.2466095,41.73999346,57.79926715,56.65327962,65.97709238,86.58850944,93.93416199,96.36327504,97.91696777,98.11549122,85.77191876,73.80161771,18.27587258,0.157293096,0.125590611
37,0,0.110011001,8.876665444,24.28737318,30.83561394,35.03724914,41.13663596,56.95721808,57.83324031,67.43308501,87.81278486,94.60908306,95.80860736,97.5586313,98.32899685,93.28120071,88.33507244,49.89178479,2.421699203,0.099984758
38,0.000611172,0.108177484,9.501519459,26.18442311,31.50763243,35.94542454,42.4499997,57.49047538,56.77825232,66.85250795,86.15303615,94.2333063,95.84784695,98.57397504,99.59998063,98.36746827,96.46436458,70.65325408,3.640298735,0.083119423
39,0,0.045724737,10.11123335,26.38926993,32.45468223,36.00133796,42.00505925,55.02499454,54.60639666,61.14244563,81.09255112,89.19160393,92.68861107,97.44664451,99.61062246,98.54758475,96.70521003,67.64702305,1.607681756,0.14083219
40,0,0.070284806,11.00321047,27.381127,33.01222405,36.83054673,41.79930042,54.63369652,54.26302507,61.17413672,80.54126675,90.77627997,94.05429553,98.05423395,99.87957057,99.10456454,96.60159338,64.38469745,1.539256827,0.160951075
41,0,0.080475537,10.88619973,25.94177717,31.35072675,35.36398467,40.74156801,54.99041472,52.92897183,60.88293819,80.13269021,88.07357726,91.49262899,96.01098425,99.07817131,95.30199714,91.62864908,47.35863435,0.923030026,0.14266118
42,0,0.012834617,3.731251838,17.51318397,23.32136184,27.46669417,37.0559543,54.62156325,56.12669562,67.71397025,90.37532831,95.54479653,97.28522358,98.95352749,99.79293567,97.0370729,92.89657599,47.13976528,1.104099985,0.174363664
43,0,0.000611172,1.143882953,10.41426612,15.54764946,18.85787265,28.46612847,48.03744328,51.0064549,65.10895678,90.74669935,96.64552596,98.70104061,99.48631787,99.94492926,99.67058167,98.76239129,73.10531931,3.67017223,0.206675812
44,0,0.000609663,1.284072852,9.752475248,14.30517545,16.89558106,28.23011099,47.19539421,50.47441093,64.25364012,90.54144607,96.65256053,98.95018986,99.76574168,99.99637788,99.72578806,99.14703099,72.10181375,3.357659794,0.131402029
45,0,0.000611172,1.262743849,9.847279378,14.92550021,17.73094934,28.46621471,46.64879031,49.60688199,63.60079109,88.80429915,95.28038201,98.21429649,98.90907343,99.38938042,98.9615231,97.90458395,62.05619413,3.804298125,0.14266118
46,0,0.004889378,2.015034837,10.6843469,15.55546119,19.26763571,28.77960809,45.98328035,48.77815567,62.87764809,86.03915508,92.36155968,96.10613287,98.20542468,99.14336941,98.29648863,97.40315028,51.26596555,2.205761317,0.121322969
47,0,0.004267642,2.001641996,10.72912847,15.09882625,18.42790245,29.68313141,47.04009876,50.95610182,66.13967823,88.75285944,95.24394524,97.59914035,98.53361688,99.11644739,98.90800553,98.32318183,66.0984606,6.438042981,0.18716659
48,0.000609663,0.00550055,4.305708349,15.189148,20.95846257,24.44429615,34.56465176,50.66793662,54.10347254,65.71440705,90.44666735,96.72560655,98.64503541,99.37250084,99.34017108,96.4407047,93.21022107,57.85276635,4.577023657,0.181069959
49,0,0.009754611,5.332197824,16.51272672,21.63413002,24.87806361,35.02136261,49.5650222,51.66104492,63.33922368,86.91192312,94.5638066,97.41924189,98.66457612,99.26410961,96.7096743,93.41300249,47.64822436,3.980490779,0.183351669
50,0,0.004889378,3.363280773,13.72839506,18.43832658,22.64796525,31.94405781,49.97816011,51.7362712,64.91482443,89.0020465,95.7808378,98.4485267,99.27976104,99.79112461,97.51753258,92.19345289,47.47856231,2.517299192,0.179850633
51,0,0.029336267,8.553695716,21.07260726,26.73295627,32.18269172,38.13545509,53.43856924,53.64544153,62.94984105,85.00262603,92.32352746,95.63279857,98.09762972,99.2393555,95.67691524,90.01431726,44.18472794,1.974698979,0.159122085
52,0,0.023776863,8.085604353,20.86267337,26.55476495,31.23286175,36.92826279,51.13688757,51.71867796,60.72520566,81.40908486,90.4001404,94.64107842,98.12572088,99.79726704,98.4053691,96.03052971,56.19875019,2.131606155,0.130467916
53,0,0.015890478,4.005011612,16.41457095,21.10885972,24.84522289,34.1825928,50.14863258,52.66992647,64.7303987,89.83513332,95.48201317,98.23071735,99.37912511,99.91669132,97.87121745,96.43524473,68.44505411,5.56805365,0.155464106
54,0,0,2.17503186,12.74477448,18.55135924,23.99657842,34.82770724,53.08549103,54.80538232,69.47144189,92.78089106,97.38120967,98.92423136,99.54104191,99.92677406,99.63114854,98.5385474,66.85932023,2.748971193,0.16399939
55,0,0,1.956362303,13.08641975,18.45466156,23.83095926,34.54171169,52.0729695,53.70671455,66.04139872,88.60602841,94.85840542,97.42556728,99.03466301,99.75369607,99.11973113,97.44876239,52.70598994,2.60935833,0.126512651
56,0,0,1.446549358,10.02164304,14.2364532,17.98637718,29.92883165,47.76687131,50.40525128,64.14254168,87.92498275,95.28460782,97.70418173,99.05453582,99.01901454,95.88603382,93.44317989,43.5899775,1.455938697,0.162170401
57,0,0.003048316,3.426842684,15.16902911,21.15981946,25.00970662,34.80713136,51.06226795,53.64665486,64.63939916,87.46143955,94.88991903,97.4186382,97.97313533,97.95108935,89.08005533,82.95639302,23.46227709,0.50723975,0.076207895
58,0.000609663,0.001833517,2.28225174,12.58648087,17.71452898,22.28607918,31.74785239,47.66555849,51.54395884,63.15792667,86.96339851,93.92148458,97.17264055,98.72512887,99.5424892,97.28275377,94.35017941,53.44002439,1.92287761,0.143270843
59,0,0.007945239,1.945361203,10.46852614,15.20099738,19.50726783,28.52906646,45.09997816,49.1318644,62.39091756,89.28964791,95.12583837,98.32114894,99.27311611,99.79957621,99.5334116,98.87281904,61.24554184,1.975916804,0.230452675
60,0,0,1.361386139,9.352232891,13.55774494,17.65492915,28.63557691,46.84838263,50.96156179,65.52391468,92.67849489,95.24778296,97.98622152,99.00334827,99.70721224,99.39636973,98.36746827,54.73372961,2.327084286,0.15095954
61,0,0.006111722,1.551931183,11.52854174,17.86442282,21.09854643,31.37035378,48.9735252,52.03171637,65.34798224,94.93833287,96.76535021,98.81013468,99.37524029,99.86504642,99.63478852,98.92051329,67.06318798,3.525072398,0.203017833
62,0,0.026280406,5.212076763,17.92775492,23.91899288,28.26369884,35.67966,51.9479968,52.8228057,63.092407,89.98364011,93.551425,96.97812786,98.76306788,99.69453483,99.26289926,97.66495183,54.62399025,1.911903673,0.208504801
63,0,0.009754611,4.819993138,17.95762841,24.24740011,29.66463637,38.29474347,53.92632677,57.24331586,68.49595962,94.82637586,96.81072629,99.06971971,99.65915113,99.92556372,99.04450484,96.81319615,57.04252401,3.405704555,0.232891328
64,0.000609663,0.0330033,5.927759443,20.35543362,27.22402873,31.97530864,39.60857409,55.63105147,57.05671091,65.71936917,90.17259386,94.47204631,97.53514962,98.71683968,98.91155395,89.90511781,83.79918506,38.92821216,1.839353757,0.138393538
65,0,0.028044505,7.877291442,21.82190441,27.68108009,34.73331068,39.97186823,54.55847024,54.85998204,63.32536582,88.19186405,91.14513218,94.50305921,96.95464181,98.63594002,90.99832561,82.95821301,31.72748057,0.757201646,0.121932632
66,0.001219326,0.039726195,10.47671434,25.52842554,30.68478988,36.73964605,42.40992,56.58549279,56.250455,63.20706642,86.97426486,91.3175827,95.00147903,97.61029412,98.80289045,96.95779523,93.41527336,57.11913884,0.738302088,0.220633174
