FID,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,150ch20
0,0,-0.013605022,0.069453239,0.046770096,0.163455296,0.199851418,0.319423819,0.447019196,0.521351814,0.680407333,0.845348024,0.808223915,0.808339548,0.842783117,0.804032469,0.720181084,0.715369844,0.508052826,0.494792795,0.494299126,0.003185415
1,0,-0.014485168,0.06857028,0.04492569,0.153881025,0.182288599,0.305407763,0.418196249,0.480862761,0.646133566,0.818083096,0.774138784,0.786731195,0.798490334,0.769644833,0.702357197,0.694761801,0.482220173,0.481667614,0.484261799,0.004162884
2,0,-0.015763903,0.074759769,0.050022411,0.165051794,0.191975212,0.318079948,0.434034729,0.499828339,0.664527559,0.828335381,0.787519741,0.804765797,0.806052208,0.78058486,0.704382133,0.698435163,0.496388578,0.479654503,0.481684732,0.008786201
3,0,-0.016088295,0.081756592,0.048986435,0.167727423,0.208763552,0.333060312,0.458490372,0.517751598,0.692892504,0.864369535,0.835054064,0.915825939,0.87607832,0.855120039,0.794746828,0.786764765,0.598371601,0.506254148,0.524800348,0.020170546
4,0,-0.017245674,0.070212746,0.030265427,0.126417494,0.139943409,0.283150434,0.408414984,0.509821844,0.710238552,0.905297375,0.896441841,1.015390587,0.981011534,0.955087709,0.910535002,0.900225067,0.729196215,0.534608507,0.599683809,0.023992252
5,0,-0.018641472,0.065069485,0.018900871,0.103677082,0.101633549,0.251505995,0.381546354,0.479205418,0.705003881,0.904513025,0.905785704,1.035301352,1.000815916,0.984833193,0.955110168,0.938611031,0.773674059,0.536015797,0.638477564,0.017348289
6,0,-0.019257545,0.064062166,0.019543552,0.093168259,0.089154434,0.227443218,0.358981419,0.474308538,0.694752502,0.897724676,0.90357914,1.027827692,0.997365284,0.984897804,0.97141881,0.94618454,0.811023664,0.530705166,0.633877134,0.021284199
7,0,-0.017434072,0.070083618,0.02270813,0.099947071,0.097382307,0.242396927,0.369926596,0.488268089,0.706057596,0.905925083,0.92589426,1.043534422,1.036763573,1.015640402,1.001479483,0.980816698,0.833675957,0.553062487,0.66468401,0.023543453
8,0,-0.017185116,0.06456008,0.017138577,0.09298439,0.096618223,0.22885046,0.364865828,0.469899464,0.703464603,0.914662075,0.929181337,1.048002911,1.041960955,1.03740654,1.029878092,1.011031389,0.875238752,0.629721069,0.69139986,0.025291443
9,0,-0.016630173,0.065369701,0.013309669,0.092379665,0.096508598,0.228158951,0.354689932,0.481260824,0.715582991,0.937899399,0.954865551,1.054562235,1.102937126,1.110151672,1.136084557,1.113275003,0.962424278,0.789530039,0.710466719,0.028057289
10,0,-0.017589474,0.059556961,0.015550995,0.090361595,0.098511124,0.226369047,0.353407001,0.475263643,0.699172354,0.928524208,0.944666481,1.034596252,1.085981417,1.078379679,1.086755943,1.061705446,0.931911898,0.722656441,0.690513611,0.027049255
11,0,-0.017279625,0.057028103,0.014977455,0.09273386,0.100212383,0.240809584,0.370138454,0.48160553,0.697991753,0.92729311,0.950388622,1.02065115,1.056617069,1.05206213,1.043076468,1.029029989,0.904948568,0.577260542,0.683415794,0.030680704
