FID,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,150eg20
0,-0.018107198,-0.012327276,0.002446456,0.026859419,0.04380529,0.06025885,0.085465126,0.107998729,0.121047854,0.149420366,0.212603658,0.254903555,0.258426696,0.281624436,0.294174224,0.224743605,0.201530293,0.089914694,-0.010160519,-0.021150624,-0.003769718
1,-0.020221844,-0.011685742,0.004776339,0.027377618,0.041743468,0.060012136,0.081374414,0.104859062,0.11329034,0.133223131,0.185988605,0.231835037,0.230746403,0.258502245,0.275897294,0.210579082,0.187143371,0.076683693,-0.016422704,-0.022398524,-0.004134497
2,-0.019964093,-0.016918872,0.006113298,0.028889054,0.043474339,0.061461505,0.080498017,0.10306403,0.111022018,0.134907991,0.195801988,0.233196229,0.231765181,0.252341866,0.263646424,0.19650951,0.169565037,0.07059519,-0.013690664,-0.027142113,-0.007678155
3,-0.019618012,-0.016066646,0.004842492,0.031226372,0.040084258,0.062436674,0.081288904,0.10384009,0.116002254,0.141341269,0.210522547,0.247627527,0.254455388,0.258994162,0.269607604,0.190833211,0.150421292,0.068098225,-0.017074134,-0.024856146,-0.005471358
4,-0.016454495,-0.006858048,0.001539425,0.014587806,0.025009586,0.044688962,0.075625844,0.102329344,0.117731571,0.15312016,0.241460547,0.266352534,0.271869242,0.281885475,0.289013505,0.208985969,0.183978215,0.095823362,-0.017028341,-0.030275881,-0.001794302
5,-0.016989518,-0.008421593,-0.000283191,0.009568269,0.018500593,0.033218376,0.065042116,0.089231774,0.117600672,0.157964945,0.237002179,0.261241347,0.27032727,0.292471796,0.295146316,0.23215203,0.212787017,0.141178429,-0.003954642,-0.027063545,4.00E-05
6,-0.018747561,-0.017741572,-0.001753695,0.007105107,0.017718382,0.025619071,0.058788683,0.090770259,0.11708793,0.154096738,0.239351913,0.256002635,0.276959926,0.283370495,0.29436478,0.238819808,0.22046198,0.151899412,0.005478967,-0.027621133,0.002347528
7,-0.020226724,-0.015778393,0.003240606,0.0099102,0.017270686,0.032351799,0.058758087,0.096075922,0.119168468,0.164309934,0.250884473,0.271276265,0.277078867,0.298345417,0.299138784,0.240576714,0.224950224,0.154542491,0.005635943,-0.032382771,0.001498434
8,-0.014330179,-0.012179443,0.003451699,0.007869604,0.014329708,0.027802963,0.060194522,0.090736367,0.116185896,0.155301407,0.247619316,0.266412795,0.287293106,0.297427058,0.306681871,0.245815799,0.236250654,0.173483148,0.022294523,-0.032692108,0.002066092
9,-0.016984416,-0.012102391,0.000574656,0.005488608,0.014927867,0.028497241,0.055083249,0.087398499,0.115839414,0.160892978,0.251803249,0.272820622,0.285580814,0.316123039,0.317390442,0.25878793,0.258280307,0.193866074,0.039615318,-0.033719018,0.003907488
10,-0.016567331,-0.017240021,-0.004702308,0.008816918,0.011449955,0.024293281,0.05595386,0.080085255,0.107800089,0.15509142,0.244533628,0.267818868,0.285356432,0.324747086,0.329484999,0.260316044,0.259076506,0.188901693,0.031109842,-0.033774924,0.00342596
11,-0.011561707,-0.016142836,-0.008871941,0.006938101,0.013502942,0.027835201,0.059539489,0.087667942,0.115112394,0.158947036,0.251921296,0.265704304,0.289471716,0.325704634,0.345226735,0.278848261,0.271379143,0.187293217,0.006626556,-0.032244347,0.000492647
12,-0.014675375,-0.017646121,-0.012266647,0.003223588,0.009763336,0.022272227,0.050105758,0.074034356,0.100180909,0.147669822,0.228839904,0.250884384,0.274173647,0.324742556,0.356495261,0.300724447,0.2858181,0.183240488,-0.00509112,-0.030380227,-0.002884255
13,-0.01493862,-0.013864271,-0.013949986,0.001851283,0.008332794,0.018681832,0.044532657,0.066714242,0.088182233,0.12504746,0.210923225,0.233936548,0.245597452,0.295292884,0.328697711,0.276736528,0.267435074,0.181520671,0.004365599,-0.031920757,-0.007181943
14,-0.012751173,-0.014644564,-0.011377343,0.009648004,0.02342671,0.041934039,0.070234738,0.101559371,0.12336798,0.156266123,0.240825266,0.255654812,0.256000996,0.283774614,0.307890326,0.249770582,0.230335832,0.149103969,-0.000268485,-0.031565305,-0.00160771
15,-0.015042856,-0.013532488,-0.008156709,0.009883564,0.02196078,0.037472643,0.069015704,0.099730149,0.119447947,0.15593864,0.249246776,0.261408687,0.258061558,0.279422611,0.295680672,0.241500273,0.228584096,0.153444409,0.011376153,-0.030364716,0.002628266
16,-0.013333838,-0.013400463,-0.013167012,0.010871085,0.018501148,0.040136021,0.066081174,0.09574952,0.116982065,0.15789558,0.249907061,0.258089423,0.255575091,0.282808125,0.297342151,0.239558786,0.232235968,0.15226008,0.008600908,-0.024801871,0.000394033
