FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,labels
1,0,0.057308337,8.188485515,22.16064624,28.76482394,32.89633333,40.22948161,56.33417457,54.81690893,60.04210245,78.51481144,87.01531552,87.43616611,95.94747213,99.50316633,95.99359363,96.05304666,36.6669715,0.268861454,0.099984758,0,-0.014485168,0.06857028,0.04492569,0.153881025,0.182288599,0.305407763,0.418196249,0.480862761,0.646133566,0.818083096,0.774138784,0.786731195,0.798490334,0.769644833,0.702357197,0.694761801,0.482220173,0.481667614,0.484261799,-0.020221844,-0.011685742,0.004776339,0.027377618,0.041743468,0.060012136,0.081374414,0.104859062,0.11329034,0.133223131,0.185988605,0.231835037,0.230746403,0.258502245,0.275897294,0.210579082,0.187143371,0.076683693,-0.016422704,-0.022398524,3
2,0.000611172,0.047060262,7.94284874,22.46181984,29.14431673,33.14324541,40.17017465,56.2304351,54.74774928,60.89325147,78.6687514,86.70919016,88.4629548,94.75478152,98.37450527,92.69979787,90.92744633,37.13495104,0.285322359,0.041457095,0,-0.015763903,0.074759769,0.050022411,0.165051794,0.191975212,0.318079948,0.434034729,0.499828339,0.664527559,0.828335381,0.787519741,0.804765797,0.806052208,0.78058486,0.704382133,0.698435163,0.496388578,0.479654503,0.481684732,-0.019964093,-0.016918872,0.006113298,0.028889054,0.043474339,0.061461505,0.080498017,0.10306403,0.111022018,0.134907991,0.195801988,0.233196229,0.231765181,0.252341866,0.263646424,0.19650951,0.169565037,0.07059519,-0.013690664,-0.027142113,3
98,0,0.179684635,9.891211343,23.93842402,30.20251779,33.39597397,40.51330775,50.81232255,55.23854012,61.44652867,77.17045303,89.73808112,93.05535482,96.9026336,97.93901563,87.72294887,79.59851003,23.4092364,0.881572931,0.08495294,0,-0.026366854,0.054770517,0.029816341,0.158735991,0.20338583,0.32223053,0.434131765,0.533516884,0.656857586,0.781197929,0.839443731,0.855186796,0.887564754,0.836359119,0.79650135,0.747007751,0.565235472,0.49761343,0.537613916,-0.019625537,-0.013652599,8.83E-05,0.033998571,0.045941409,0.060030516,0.07883624,0.092161454,0.110059649,0.133433595,0.214080065,0.265385836,0.29891336,0.27151987,0.277786702,0.201505363,0.149640039,0.051825762,-0.022283506,-0.031261642,3
99,0.002438653,0.267693436,7.588104107,22.47402518,27.56613757,30.56917178,39.53479949,49.89868718,52.28590842,59.97476279,76.4218317,89.44334104,92.86563758,97.14795009,99.22598371,95.84669757,92.12430822,33.14906039,1.234567901,0.109739369,0,-0.027444744,0.053918648,0.024958086,0.150881815,0.188843822,0.320556021,0.415245867,0.514059401,0.63471365,0.761364412,0.822777319,0.838996744,0.87321806,0.826000404,0.798727703,0.745664358,0.55268569,0.48581872,0.537367821,-0.02386356,-0.012385267,-0.003527088,0.031852216,0.040138237,0.054236189,0.069792904,0.089202158,0.102221929,0.1297573,0.205190092,0.259143561,0.287171215,0.27075389,0.284595817,0.22480692,0.178716183,0.07199081,-0.019997593,-0.02683536,3
100,0,0.112178022,5.199242146,15.77381497,20.12970468,21.70346044,30.08799216,39.64849911,43.50384625,50.79217148,71.87700464,84.11158534,88.54302163,92.23495771,96.22998026,89.17348152,87.96622097,27.4488645,2.27770157,0.07133059,0,-0.02351284,0.055237055,0.034739017,0.142772484,0.14805131,0.265373516,0.363704062,0.457127047,0.586695433,0.733013487,0.768887234,0.763010406,0.806845903,0.756669188,0.701367998,0.671112061,0.501503849,0.45169487,0.477475643,-0.023486085,-0.017647928,-0.006038179,0.017133964,0.026967291,0.033218708,0.050613105,0.071074747,0.084420264,0.105799787,0.192558497,0.239861995,0.269533336,0.246574625,0.247211799,0.187762365,0.164517656,0.063066714,-0.014656432,-0.029047444,3
101,0,0.043500637,6.216843907,19.16841945,26.06797744,29.61381743,38.22756926,52.90895193,54.65310976,63.22587299,83.28277803,89.22963616,91.22645373,96.63565732,99.40668301,95.40027664,96.02696013,32.9860731,0.468830971,0.085564112,0,-0.014761829,0.063840055,0.043655729,0.151260805,0.162493515,0.296810246,0.41779933,0.481523609,0.6501616,0.824610806,0.783908844,0.780754471,0.816117334,0.773331118,0.715547562,0.72116785,0.482965517,0.493931007,0.485683012,-0.023673994,-0.014709107,0.001435997,0.02005386,0.037399914,0.05246922,0.072161853,0.094195165,0.114461072,0.150069103,0.210553542,0.254982263,0.252579659,0.259906232,0.286634803,0.214791775,0.191805422,0.077865571,-0.012629536,-0.022871573,3
102,0,0.015890478,5.462581923,19.06233806,24.68830971,28.64362154,37.47179014,52.15365575,53.19893713,62.14115848,82.79130003,90.28186104,91.02268358,96.55658332,99.55338231,96.60875052,95.98267369,41.49790184,0.501143118,0.072549916,0,-0.014521503,0.064640236,0.045424652,0.154496431,0.163578701,0.294058132,0.412084103,0.480989218,0.658637524,0.831596518,0.7957376,0.803919649,0.830315685,0.784552813,0.71168437,0.709695148,0.479816675,0.478384972,0.480449343,-0.018257573,-0.014141776,-0.005214616,0.021136239,0.03306333,0.051821046,0.072768413,0.092521377,0.111182578,0.146750376,0.204015091,0.259453714,0.249191269,0.261735231,0.285231858,0.222414166,0.192968354,0.085254416,-0.016182521,-0.025403701,3
103,0,0.035535732,4.895489549,18.80079256,24.44322512,28.36940959,36.80810017,50.36399816,51.93525686,60.8295518,81.95131988,90.94358577,93.36549116,97.83880374,99.68696159,97.66705801,96.87100894,52.37205465,1.416247523,0.064624295,0,-0.017602873,0.067296267,0.045830917,0.155003929,0.172908735,0.302859879,0.412417841,0.479491138,0.65329957,0.830426598,0.799913263,0.856988001,0.835175657,0.808234596,0.742436457,0.73637929,0.525545502,0.482174444,0.500725317,-0.017012421,-0.017345224,-0.002618856,0.02187396,0.03480424,0.05070027,0.072814889,0.08724311,0.108590804,0.142606869,0.211093754,0.264464706,0.268025011,0.275375515,0.286648661,0.223996878,0.198368311,0.10271664,-0.005331654,-0.026615348,3
184,0,0.230982257,10.14729251,24.02194787,29.86617894,32.92039166,39.40522701,49.86653401,53.29054333,57.52748186,81.39153484,85.77172214,90.29182926,96.17839765,99.21315732,94.15281829,89.67828255,46.22088427,1.021185795,0.137783874,0,-0.030197096,0.05368433,0.028257656,0.162722588,0.232876873,0.317781258,0.403239727,0.507014418,0.678470707,0.783718061,0.811058283,0.820077944,0.845964146,0.775054216,0.751862335,0.707818031,0.571938038,0.469935513,0.508082008,-0.01960103,-0.013799557,0.004371841,0.032689661,0.046872266,0.062139526,0.077194162,0.091501981,0.11250779,0.129040748,0.193665832,0.233717188,0.262686878,0.262176722,0.262961268,0.213957563,0.170054272,0.085608177,-0.018716648,-0.025263069,3
185,0,0.465102066,10.31732968,25.04740131,29.68449931,34.02290762,40.09561018,50.63543167,52.97083161,57.51080234,79.1307724,84.95237288,88.40530085,94.59700934,98.57542271,93.6045524,89.62362591,41.18834763,0.807194025,0.136564548,0,-0.028964949,0.056184101,0.032884598,0.162704611,0.234339762,0.319194412,0.422521782,0.525478458,0.69196558,0.798028278,0.822246552,0.839217329,0.841446257,0.782331228,0.748884344,0.698554516,0.570549107,0.491289473,0.508460903,-0.02159708,-0.007916196,0.009328543,0.035025876,0.046067119,0.063552007,0.080143392,0.095784493,0.108385652,0.127608195,0.188216835,0.22861135,0.252911925,0.254988343,0.261214912,0.204614237,0.162883401,0.08061748,-0.018965643,-0.025562521,3
