FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20
0,0,0.102676934,8.463631017,22.35817711,29.52867482,33.6216019,42.20912894,56.73881919,56.76065908,64.72008542,84.53601385,90.86864394,92.39778085,98.27829166,99.89954128,97.43805965,96.79074959,47.25560128,0.540161561,0.071507151,0,-0.013605022,0.069453239,0.046770096,0.163455296,0.199851418,0.319423819,0.447019196,0.521351814,0.680407333,0.845348024,0.808223915,0.808339548,0.842783117,0.804032469,0.720181084,0.715369844,0.508052826,0.494792795,0.494299126,-0.018107198,-0.012327276,0.002446456,0.026859419,0.04380529,0.06025885,0.085465126,0.107998729,0.121047854,0.149420366,0.212603658,0.254903555,0.258426696,0.281624436,0.294174224,0.224743605,0.201530293,0.089914694,-0.010160519,-0.021150624
1,0,0.057308337,8.188485515,22.16064624,28.76482394,32.89633333,40.22948161,56.33417457,54.81690893,60.04210245,78.51481144,87.01531552,87.43616611,95.94747213,99.50316633,95.99359363,96.05304666,36.6669715,0.268861454,0.099984758,0,-0.014485168,0.06857028,0.04492569,0.153881025,0.182288599,0.305407763,0.418196249,0.480862761,0.646133566,0.818083096,0.774138784,0.786731195,0.798490334,0.769644833,0.702357197,0.694761801,0.482220173,0.481667614,0.484261799,-0.020221844,-0.011685742,0.004776339,0.027377618,0.041743468,0.060012136,0.081374414,0.104859062,0.11329034,0.133223131,0.185988605,0.231835037,0.230746403,0.258502245,0.275897294,0.210579082,0.187143371,0.076683693,-0.016422704,-0.022398524
2,0.000611172,0.047060262,7.94284874,22.46181984,29.14431673,33.14324541,40.17017465,56.2304351,54.74774928,60.89325147,78.6687514,86.70919016,88.4629548,94.75478152,98.37450527,92.69979787,90.92744633,37.13495104,0.285322359,0.041457095,0,-0.015763903,0.074759769,0.050022411,0.165051794,0.191975212,0.318079948,0.434034729,0.499828339,0.664527559,0.828335381,0.787519741,0.804765797,0.806052208,0.78058486,0.704382133,0.698435163,0.496388578,0.479654503,0.481684732,-0.019964093,-0.016918872,0.006113298,0.028889054,0.043474339,0.061461505,0.080498017,0.10306403,0.111022018,0.134907991,0.195801988,0.233196229,0.231765181,0.252341866,0.263646424,0.19650951,0.169565037,0.07059519,-0.013690664,-0.027142113
3,0,0.044615573,8.241046327,23.03813715,28.3360431,33.01344037,39.93081757,55.99747628,55.45633235,63.29262536,83.17861076,90.98998485,92.95237751,95.87187455,97.42467507,85.7494722,80.63044481,36.9151044,0.188530074,0.067672611,0,-0.016088295,0.081756592,0.048986435,0.167727423,0.208763552,0.333060312,0.458490372,0.517751598,0.692892504,0.864369535,0.835054064,0.915825939,0.87607832,0.855120039,0.794746828,0.786764765,0.598371601,0.506254148,0.524800348,-0.019618012,-0.016066646,0.004842492,0.031226372,0.040084258,0.062436674,0.081288904,0.10384009,0.116002254,0.141341269,0.210522547,0.247627527,0.254455388,0.258994162,0.269607604,0.190833211,0.150421292,0.068098225,-0.017074134,-0.024856146
4,0,0.037799116,3.904641702,16.04816339,21.69129721,26.07136791,37.03719393,55.41993254,56.00354292,66.83006139,90.65554274,96.68576327,98.65860947,98.9931757,98.22516284,92.66119052,87.40687714,53.30650815,0.432251181,0.064624295,0,-0.017245674,0.070212746,0.030265427,0.126417494,0.139943409,0.283150434,0.408414984,0.509821844,0.710238552,0.905297375,0.896441841,1.015390587,0.981011534,0.955087709,0.910535002,0.900225067,0.729196215,0.534608507,0.599683809,-0.016454495,-0.006858048,0.001539425,0.014587806,0.025009586,0.044688962,0.075625844,0.102329344,0.117731571,0.15312016,0.241460547,0.266352534,0.271869242,0.281885475,0.289013505,0.208985969,0.183978215,0.095823362,-0.017028341,-0.030275881
5,0,0.010389928,2.150715072,12.67550678,17.78203491,21.27470656,33.75897169,51.39107962,56.2886748,68.47533306,91.01499619,97.02443118,99.12706989,99.88256974,99.95642754,99.56548577,98.97159886,78.24538942,1.615607377,0.126809938,0,-0.018641472,0.065069485,0.018900871,0.103677082,0.101633549,0.251505995,0.381546354,0.479205418,0.705003881,0.904513025,0.905785704,1.035301352,1.000815916,0.984833193,0.955110168,0.938611031,0.773674059,0.536015797,0.638477564,-0.016989518,-0.008421593,-0.000283191,0.009568269,0.018500593,0.033218376,0.065042116,0.089231774,0.117600672,0.157964945,0.237002179,0.261241347,0.27032727,0.292471796,0.295146316,0.23215203,0.212787017,0.141178429,-0.003954642,-0.027063545
6,0,0.001833517,2.011444956,11.01026769,16.32228397,18.48443301,31.73466794,51.38015967,56.06056929,68.0063821,90.98877748,96.81800027,99.32733536,99.82398597,99.98671891,99.83802082,99.58018879,83.77076665,3.220823451,0.143625474,0,-0.019257545,0.064062166,0.019543552,0.093168259,0.089154434,0.227443218,0.358981419,0.474308538,0.694752502,0.897724676,0.90357914,1.027827692,0.997365284,0.984897804,0.97141881,0.94618454,0.811023664,0.530705166,0.633877134,-0.018747561,-0.017741572,-0.001753695,0.007105107,0.017718382,0.025619071,0.058788683,0.090770259,0.11708793,0.154096738,0.239351913,0.256002635,0.276959926,0.283370495,0.29436478,0.238819808,0.22046198,0.151899412,0.005478967,-0.027621133
7,0,0.006096632,2.084708471,12.19082457,17.0692696,21.20476799,32.65277786,53.63452159,57.73132083,70.61867553,92.85895838,98.15634263,99.54602805,99.97109409,99.99576379,99.7300347,99.3751365,82.95566502,3.146471574,0.068891937,0,-0.017434072,0.070083618,0.02270813,0.099947071,0.097382307,0.242396927,0.369926596,0.488268089,0.706057596,0.905925083,0.92589426,1.043534422,1.036763573,1.015640402,1.001479483,0.980816698,0.833675957,0.553062487,0.66468401,-0.020226724,-0.015778393,0.003240606,0.0099102,0.017270686,0.032351799,0.058758087,0.096075922,0.119168468,0.164309934,0.250884473,0.271276265,0.277078867,0.298345417,0.299138784,0.240576714,0.224950224,0.154542491,0.005635943,-0.032382771
8,0.000611172,0.006111722,1.214954416,10.74287456,15.2940461,19.25974908,31.68867479,51.26671358,55.72205101,68.59273066,91.68060175,97.19587803,99.16594402,99.65638216,99.85934114,99.85899469,99.74398796,89.32601738,10.28989483,0.10791038,0,-0.017185116,0.06456008,0.017138577,0.09298439,0.096618223,0.22885046,0.364865828,0.469899464,0.703464603,0.914662075,0.929181337,1.048002911,1.041960955,1.03740654,1.029878092,1.011031389,0.875238752,0.629721069,0.69139986,-0.014330179,-0.012179443,0.003451699,0.007869604,0.014329708,0.027802963,0.060194522,0.090736367,0.116185896,0.155301407,0.247619316,0.266412795,0.287293106,0.297427058,0.306681871,0.245815799,0.236250654,0.173483148,0.022294523,-0.032692108
9,0,0.010973937,1.649348103,10.6544734,15.9642401,19.33467129,30.68711345,49.38484312,55.10810745,68.41648669,91.88585503,97.78628304,99.39872864,99.96988968,99.9933431,99.91688709,99.84066168,92.91815272,21.46806889,0.163389727,0,-0.016630173,0.065369701,0.013309669,0.092379665,0.096508598,0.228158951,0.354689932,0.481260824,0.715582991,0.937899399,0.954865551,1.054562235,1.102937126,1.110151672,1.136084557,1.113275003,0.962424278,0.789530039,0.710466719,-0.016984416,-0.012102391,0.000574656,0.005488608,0.014927867,0.028497241,0.055083249,0.087398499,0.115839414,0.160892978,0.251803249,0.272820622,0.285580814,0.316123039,0.317390442,0.25878793,0.258280307,0.193866074,0.039615318,-0.033719018
10,0,0.003667033,1.716171617,10.85136291,14.08733529,17.87291611,29.94584936,46.74416916,52.75364605,66.65230896,91.6540589,97.38603916,99.25808161,99.92412198,99.98188942,99.92295372,99.77068116,91.1775644,14.63054187,0.080475537,0,-0.017589474,0.059556961,0.015550995,0.090361595,0.098511124,0.226369047,0.353407001,0.475263643,0.699172354,0.928524208,0.944666481,1.034596252,1.085981417,1.078379679,1.086755943,1.061705446,0.931911898,0.722656441,0.690513611,-0.016567331,-0.017240021,-0.004702308,0.008816918,0.011449955,0.024293281,0.05595386,0.080085255,0.107800089,0.15509142,0.244533628,0.267818868,0.285356432,0.324747086,0.329484999,0.260316044,0.259076506,0.188901693,0.031109842,-0.033774924
11,0,0.007945239,1.512719341,10.57277854,15.17971173,19.16438606,31.76371625,50.82748914,55.58858502,68.21871436,92.58552723,97.84800474,99.58587133,99.96095252,99.99455344,99.91688709,99.86289403,87.08367627,5.933851547,0.089231145,0,-0.017279625,0.057028103,0.014977455,0.09273386,0.100212383,0.240809584,0.370138454,0.48160553,0.697991753,0.92729311,0.950388622,1.02065115,1.056617069,1.05206213,1.043076468,1.029029989,0.904948568,0.577260542,0.683415794,-0.011561707,-0.016142836,-0.008871941,0.006938101,0.013502942,0.027835201,0.059539489,0.087667942,0.115112394,0.158947036,0.251921296,0.265704304,0.289471716,0.325704634,0.345226735,0.278848261,0.271379143,0.187293217,0.006626556,-0.032244347
12,0,0.001828989,0.767021147,7.871361073,12.36209937,15.88245286,26.15981409,43.6112257,48.24620859,62.73811546,87.08318708,93.70113916,95.81645528,98.53724045,99.25625872,98.9300541,99.12546372,74.78128334,3.414113702,0.090839811,0,-0.018316126,0.05376153,0.009944105,0.079244518,0.077211571,0.202468443,0.326967478,0.437293482,0.694404697,0.915465736,0.937741756,1.004131126,1.048675537,1.050095749,1.042578363,1.018804693,0.893510294,0.518107986,0.648594475,-0.014675375,-0.017646121,-0.012266647,0.003223588,0.009763336,0.022272227,0.050105758,0.074034356,0.100180909,0.147669822,0.228839904,0.250884384,0.274173647,0.324742556,0.356495261,0.300724447,0.2858181,0.183240488,-0.00509112,-0.030380227
