FID,avEG210326,avEG210407,avEG210419,avEG210429,avEG210505,avEG210513,avEG210520,avEG210527,avEG210602,avEG210610,avEG210617,avEG210624,avEG210630,avEG210709,avEG210714,avEG210719,avEG210727,avEG210804,avEG210806,sdEG210326,sdEG210407,sdEG210419,sdEG210429,sdEG210505,sdEG210513,sdEG210520,sdEG210527,sdEG210602,sdEG210610,sdEG210617,sdEG210624,sdEG210630,sdEG210709,sdEG210714,sdEG210719,sdEG210727,sdEG210804,sdEG210806
"0",-0.013877342455089,-0.011779340915382,0.001820144476369,0.015754478052258,0.039046082645655,0.070544101297855,0.130894646048546,0.156631439924240,0.227833583950996,0.248920261859894,0.231048226356506,0.229424580931664,0.249003246426582,0.250503927469254,0.254986613988876,0.258325368165970,0.225403144955635,0.015691746026278,-0.011134992353618,0.008118759840727,0.011570976115763,0.033949520438910,0.047671236097813,0.082177236676216,0.123843707144260,0.156023964285851,0.153113201260567,0.203367203474045,0.156604662537575,0.120139263570309,0.113559715449810,0.114070415496826,0.109516061842442,0.107302911579609,0.133738189935684,0.127822518348694,0.035555399954319,0.031364306807518
"1",-0.013351379893720,-0.010406367480755,0.004092681687325,0.027053464204073,0.059558179229498,0.093953274190426,0.173158839344978,0.208971485495567,0.294805556535721,0.307536989450455,0.296111941337585,0.289976686239243,0.303889691829681,0.290809601545334,0.291395276784897,0.290281236171722,0.249101668596268,0.018392680212855,-0.016706079244614,0.008157786913216,0.010591167025268,0.033550828695297,0.050142165273428,0.093482322990894,0.127101182937622,0.163930416107178,0.155733600258827,0.200193181633949,0.133909165859222,0.093037925660610,0.083891555666924,0.088166430592537,0.087261587381363,0.098502472043037,0.119523189961910,0.118978507816792,0.032382972538471,0.031431801617146
"2",-0.014972213655710,-0.009222757071257,0.002703820820898,0.023013779893517,0.049388740211725,0.093412831425667,0.161203086376190,0.195401743054390,0.274796366691589,0.293901473283768,0.297458618879318,0.279159516096115,0.293644845485687,0.301519066095352,0.296353012323380,0.308389753103256,0.288422256708145,0.026001827791333,-0.013848589733243,0.008778791874647,0.011736151762307,0.036440894007683,0.050530549138784,0.087905734777451,0.122166477143764,0.158550411462784,0.149218350648880,0.195026755332947,0.128622233867645,0.097849786281586,0.085083805024624,0.087067663669586,0.090890362858772,0.098749175667763,0.121466509997845,0.141165688633919,0.033126115798950,0.032835911959410
"3",-0.015613138675690,-0.009530787356198,0.001344371237792,0.026146072894335,0.054262470453978,0.096740335226059,0.172409072518349,0.223395854234695,0.303475797176361,0.315299034118652,0.311592340469360,0.291301131248474,0.287231266498566,0.294311642646790,0.284714192152023,0.288764804601669,0.262162417173386,0.023475375026464,-0.012441339902580,0.009247920475900,0.011156341992319,0.035947687923908,0.051977824419737,0.090643331408501,0.123729817569256,0.164100080728531,0.159492045640945,0.203270792961121,0.130394503474236,0.097915560007095,0.089662522077560,0.081803798675537,0.084117487072945,0.081349298357964,0.107533000409603,0.125952154397964,0.033365283161402,0.032368492335081
"4",-0.016432801261544,-0.010406374000013,-0.000623462663498,0.021355066448450,0.042489655315876,0.081188477575779,0.152005463838577,0.200541391968727,0.278911679983139,0.279232949018478,0.270348191261292,0.283422291278839,0.268540084362030,0.279358893632889,0.281397640705109,0.283209979534149,0.243489280343056,0.011876627802849,-0.017522756010294,0.007873078808188,0.010023047216237,0.030305571854115,0.044155117124319,0.080299876630306,0.112219356000423,0.154927179217339,0.156406641006470,0.198261126875877,0.124976709485054,0.080538988113403,0.073741495609283,0.055582623928785,0.061550196260214,0.079333662986755,0.105626039206982,0.114708073437214,0.030350815504789,0.029943095520139
"5",-0.017745027318597,-0.010545975528657,-0.006550638470799,0.011942799203098,0.030365547165275,0.053170453757048,0.117762096226215,0.153942391276360,0.232899099588394,0.234781697392464,0.229267835617065,0.251223057508469,0.252245754003525,0.254648417234421,0.278342992067337,0.271132379770279,0.255688190460205,0.016919154673815,-0.014614296145737,0.008159963414073,0.008443637751043,0.021655498072505,0.032226089388132,0.064168520271778,0.099223837256432,0.149037897586823,0.149637073278427,0.194843202829361,0.134988203644753,0.089855358004570,0.079220876097679,0.067085064947605,0.065284565091133,0.082357659935951,0.107377812266350,0.119577392935753,0.025833798572421,0.025912573561072
"6",-0.016839984804392,-0.013262467458844,-0.002215745626017,0.017517244443297,0.037215210497379,0.074569933116436,0.139990508556366,0.181635916233063,0.262193083763123,0.254024833440781,0.232298463582993,0.246009960770607,0.242638245224953,0.247531399130821,0.258677631616592,0.245335742831230,0.224078595638275,0.012465371750295,-0.013775202445686,0.008179694414139,0.011419746093452,0.033390581607819,0.043843269348145,0.081978805363178,0.121080256998539,0.160188645124435,0.165352866053581,0.218399360775948,0.147209256887436,0.109941594302654,0.110731422901154,0.095803812146187,0.090540066361427,0.102949336171150,0.118767522275448,0.123040065169334,0.026855653151870,0.026050172746181
"7",-0.016765723004937,-0.021050859242678,0.003482463071123,0.022346116602421,0.051804419606924,0.102425344288349,0.169711887836456,0.216144189238548,0.288761407136917,0.267979681491852,0.245965570211411,0.274569064378738,0.273805558681488,0.279285728931427,0.275669455528259,0.249009132385254,0.205383464694023,0.007296310737729,-0.022075885906816,0.008498029783368,0.013047162443399,0.038624368607998,0.051268920302391,0.093328043818474,0.130041524767876,0.167371183633804,0.163406759500504,0.206817179918289,0.124587260186672,0.094501152634621,0.098789960145950,0.087020650506020,0.083218157291412,0.094093218445778,0.110511362552643,0.100498415529728,0.026314290240407,0.027069622650743
"8",-0.017789082601666,-0.019996125251055,0.002379337325692,0.018361691385508,0.048634313046932,0.091553099453449,0.159504860639572,0.195799857378006,0.266092866659164,0.250084757804871,0.231318056583405,0.260080426931381,0.264701247215271,0.264733612537384,0.258526295423508,0.246397301554680,0.202389687299728,0.002982941688970,-0.022051887586713,0.008143575862050,0.014051259495318,0.038339294493198,0.048955827951431,0.091925948858261,0.129926025867462,0.167607739567757,0.164199471473694,0.205888643860817,0.138394549489021,0.106209255754948,0.100649893283844,0.099569544196129,0.097735702991486,0.094357043504715,0.128951758146286,0.116898700594902,0.027239503338933,0.026755977421999
"9",-0.020680658519268,-0.016663834452629,-0.001669395249337,0.013400306925178,0.043570261448622,0.083734683692455,0.150806501507759,0.194024369120598,0.269173115491867,0.248199343681335,0.230835318565369,0.253490179777145,0.269847571849823,0.267598718404770,0.261113524436951,0.274670541286469,0.234593361616135,0.006476126611233,-0.014539888128638,0.008651468902826,0.012968407012522,0.033759530633688,0.044693615287542,0.086054086685181,0.124327681958675,0.160843431949615,0.160749927163124,0.205791503190994,0.141300588846207,0.108874604105949,0.098130032420158,0.105369687080383,0.102720968425274,0.097314596176147,0.133174553513527,0.117704927921295,0.027533926069736,0.026199644431472
