,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,132cc21,134cc21
0,0,0.136628762,9.152873038,16.19935985,20.04659176,33.23181829,45.99847584,55.12823616,68.5675964,81.813491,84.13544746,86.93881924,89.54141219,91.43654778,93.54831752,89.81669841,86.26941329,1.007401316,0.763933835
1,0,0.052690913,10.52949246,22.57033989,28.5331144,42.83707353,60.39665078,69.51868107,86.72167217,97.33727493,98.89277076,99.66675625,99.78392905,99.08698107,99.0346681,97.78176939,93.12132098,0.5384749,0.501862089
2,0.00245074,0.229144202,11.00660066,20.87088731,26.1065499,43.2830207,58.5154702,67.94124927,83.39887212,96.73098629,98.9563913,99.51569699,99.65498768,99.51739958,99.89680193,99.58665166,98.42667936,1.000908934,0.645099683
3,0.011028331,0.035535732,11.04648682,22.94650206,27.4412143,44.52122109,60.12406796,72.68491062,87.99329371,98.59392636,99.38296157,99.69363074,99.6957807,99.4871018,99.89646247,99.2281136,97.5967365,1.356907895,0.75756772
4,0,0.031859622,7.765279683,19.17451608,22.80848993,40.70470043,55.49336991,67.62069195,82.63862216,96.43859178,98.80139747,99.29158828,99.34533376,99.36050035,99.5624832,97.95922784,94.85979292,0.500477679,0.468970493
5,0.001838055,0.012866386,3.451900746,12.35055632,17.10150216,31.55378679,45.40154015,55.14431116,70.40092898,87.13356625,95.44626594,98.36708454,98.66595001,99.42678478,99.7441548,97.32405644,96.86093317,0.265105609,0.217508939
6,0.006722895,0.19115773,8.688309709,16.78463649,20.45062972,34.95352957,49.22237464,58.56177822,72.80963268,85.61891965,87.92475141,90.73689868,91.9061395,93.5054536,94.2094478,92.03060076,90.83059211,0.40059927,0.318305765
7,0.011028331,0.18993236,11.31839659,21.03448276,26.40637353,42.60841078,59.02212443,68.82935331,81.37052279,92.95780704,95.43983714,97.17065305,97.38779898,99.07050727,98.96909433,95.7745412,88.88828774,0.257531163,0.179312247
8,0,0.207700225,11.07627429,18.98978814,25.12376087,39.05457546,55.96463954,63.87723439,76.19545288,87.51948401,92.64176297,96.64095146,96.01504972,97.48528393,97.59167386,92.27514716,82.07345048,0.309470222,0.195227536
9,0,0.113959416,8.82731291,16.88462125,23.30680191,37.68108908,54.68952451,63.33512427,75.87562872,87.42273582,92.83525934,97.01263101,96.90560377,97.90255341,97.80489116,95.65335007,93.25927524,0.466822998,0.252522573
10,0.00122537,0.385991569,12.44322512,21.42234415,26.95311075,41.4217768,57.30955647,64.94414253,77.01752782,88.76538565,91.96185578,95.00456866,95.27761354,96.04397507,96.78688525,94.9099723,94.1525277,0.336521814,0.321488822
11,0.000612685,0.122537006,10.79330155,19.76829046,24.26077966,37.5466764,53.65725461,60.81473477,74.02530102,85.88443967,88.9384574,92.17293475,94.09086039,87.36041378,96.57571182,92.08145776,92.30219875,0.736060448,0.477458647
12,0,0.014704441,6.355738455,13.03215973,16.4017569,29.4607974,43.00624905,47.91517003,60.14912602,73.94571352,76.95673206,82.4746036,84.58478904,89.77125173,93.54474604,84.47454986,87.5746624,0.409020083,0.165518998
13,0,0.012253701,4.018289895,9.958238073,15.79882017,27.27498847,41.63488571,47.40017671,59.65554031,75.42166084,77.2827601,85.77306332,86.75024108,91.26882791,94.21123354,87.10721087,90.81212252,0.33219356,0.195227536
