FID,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21
0,-0.011779341,0.001820144,0.015754478,0.039046083,0.070544101,0.130894646,0.15663144,0.227833584,0.248920262,0.231048226,0.229424581,0.249003246,0.250503927,0.254986614,0.258325368,0.225403145,0.015691746
1,-0.010406367,0.004092682,0.027053464,0.059558179,0.093953274,0.173158839,0.208971485,0.294805557,0.307536989,0.296111941,0.289976686,0.303889692,0.290809602,0.291395277,0.290281236,0.249101669,0.01839268
2,-0.009222757,0.002703821,0.02301378,0.04938874,0.093412831,0.161203086,0.195401743,0.274796367,0.293901473,0.297458619,0.279159516,0.293644845,0.301519066,0.296353012,0.308389753,0.288422257,0.026001828
3,-0.009530787,0.001344371,0.026146073,0.05426247,0.096740335,0.172409073,0.223395854,0.303475797,0.315299034,0.31159234,0.291301131,0.287231266,0.294311643,0.284714192,0.288764805,0.262162417,0.023475375
4,-0.010406374,-0.000623463,0.021355066,0.042489655,0.081188478,0.152005464,0.200541392,0.27891168,0.279232949,0.270348191,0.283422291,0.268540084,0.279358894,0.281397641,0.28320998,0.24348928,0.011876628
5,-0.010545976,-0.006550638,0.011942799,0.030365547,0.053170454,0.117762096,0.153942391,0.2328991,0.234781697,0.229267836,0.251223058,0.252245754,0.254648417,0.278342992,0.27113238,0.25568819,0.016919155
6,-0.013262467,-0.002215746,0.017517244,0.03721521,0.074569933,0.139990509,0.181635916,0.262193084,0.254024833,0.232298464,0.246009961,0.242638245,0.247531399,0.258677632,0.245335743,0.224078596,0.012465372
7,-0.021050859,0.003482463,0.022346117,0.05180442,0.102425344,0.169711888,0.216144189,0.288761407,0.267979681,0.24596557,0.274569064,0.273805559,0.279285729,0.275669456,0.249009132,0.205383465,0.007296311
8,-0.019996125,0.002379337,0.018361691,0.048634313,0.091553099,0.159504861,0.195799857,0.266092867,0.250084758,0.231318057,0.260080427,0.264701247,0.264733613,0.258526295,0.246397302,0.202389687,0.002982942
9,-0.016663834,-0.001669395,0.013400307,0.043570261,0.083734684,0.150806502,0.194024369,0.269173115,0.248199344,0.230835319,0.25349018,0.269847572,0.267598718,0.261113524,0.274670541,0.234593362,0.006476127
10,-0.015791336,0.003083447,0.022960695,0.052511699,0.097549178,0.168116465,0.204160377,0.277327031,0.259395629,0.240566805,0.248334169,0.273133904,0.269734949,0.266752511,0.270983964,0.257865399,0.008590565
11,-0.020853639,0.001487058,0.021735847,0.046553478,0.088198021,0.150831938,0.182800874,0.25705117,0.245953798,0.218873993,0.222319886,0.246125415,0.186708227,0.254578859,0.23907195,0.244695067,0.01371438
12,-0.017596215,-0.001675408,0.011353113,0.0227958,0.065941386,0.113918938,0.139067069,0.197615579,0.184389144,0.164029911,0.169512153,0.178180233,0.192914128,0.224715441,0.206844568,0.238216311,0.013647676
13,-0.01542757,-0.007859398,0.005438691,0.02421049,0.059583548,0.105873875,0.132519484,0.195028231,0.169003665,0.160929471,0.177448124,0.186904714,0.206960097,0.228041157,0.218124226,0.242028132,0.017155252
14,-0.017392762,-0.004624553,0.017316703,0.034808073,0.079250298,0.130287632,0.164093956,0.220981121,0.207892716,0.186106578,0.19912973,0.203681782,0.223230109,0.223758131,0.20675756,0.219188884,0.012015358
15,-0.019756489,-0.00523267,0.011909599,0.02984898,0.064061128,0.108225182,0.13544105,0.180551708,0.165877879,0.15033114,0.159679294,0.177258462,0.205468014,0.204441711,0.199960649,0.220814914,0.017756039
16,-0.018441467,-0.004982616,0.011524447,0.03502332,0.064778298,0.10789948,0.141312897,0.190233707,0.164427906,0.151830673,0.163071573,0.184434325,0.203874767,0.206435665,0.211269736,0.230702758,0.018370442
