FID,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,yield
0,0,0.136628762,9.152873038,16.19935985,20.04659176,33.23181829,45.99847584,55.12823616,68.5675964,81.813491,84.13544746,86.93881924,89.54141219,91.43654778,93.54831752,89.81669841,86.26941329,0,0.005883961,0.026388792,0.032495443,0.040879019,0.173196644,0.235328674,0.321583539,0.383665413,0.491745055,0.565417349,0.589018404,0.654058695,0.67731607,0.721060216,0.608200252,0.729416966,-0.011779341,0.001820144,0.015754478,0.039046083,0.070544101,0.130894646,0.15663144,0.227833584,0.248920262,0.231048226,0.229424581,0.249003246,0.250503927,0.254986614,0.258325368,0.225403145,0.015691746,35.43
1,0,0.052690913,10.52949246,22.57033989,28.5331144,42.83707353,60.39665078,69.51868107,86.72167217,97.33727493,98.89277076,99.66675625,99.78392905,99.08698107,99.0346681,97.78176939,93.12132098,0,0.00470809,0.022080246,0.022767548,0.039292,0.169692695,0.253505677,0.343782008,0.425923884,0.615179658,0.6869151,0.714741468,0.771066785,0.841204762,0.833313584,0.726894557,0.8612445,-0.010406367,0.004092682,0.027053464,0.059558179,0.093953274,0.173158839,0.208971485,0.294805557,0.307536989,0.296111941,0.289976686,0.303889692,0.290809602,0.291395277,0.290281236,0.249101669,0.01839268,48.65
2,0.00245074,0.229144202,11.00660066,20.87088731,26.1065499,43.2830207,58.5154702,67.94124927,83.39887212,96.73098629,98.9563913,99.51569699,99.65498768,99.51739958,99.89680193,99.58665166,98.42667936,0,0.006395773,0.022278886,0.032378606,0.036928263,0.170068502,0.255166382,0.348967671,0.422532529,0.621023178,0.683501542,0.711783767,0.761989355,0.836425781,0.838222027,0.749796808,0.898855865,-0.009222757,0.002703821,0.02301378,0.04938874,0.093412831,0.161203086,0.195401743,0.274796367,0.293901473,0.297458619,0.279159516,0.293644845,0.301519066,0.296353012,0.308389753,0.288422257,0.026001828,44.45
3,0.011028331,0.035535732,11.04648682,22.94650206,27.4412143,44.52122109,60.12406796,72.68491062,87.99329371,98.59392636,99.38296157,99.69363074,99.6957807,99.4871018,99.89646247,99.2281136,97.5967365,0,0.004363311,0.02068758,0.02117754,0.042063557,0.174657732,0.264442861,0.36419484,0.453343332,0.695739031,0.73830086,0.747395277,0.793422163,0.858328283,0.861919701,0.773510993,0.910152256,-0.009530787,0.001344371,0.026146073,0.05426247,0.096740335,0.172409073,0.223395854,0.303475797,0.315299034,0.31159234,0.291301131,0.287231266,0.294311643,0.284714192,0.288764805,0.262162417,0.023475375,52.58
4,0,0.031859622,7.765279683,19.17451608,22.80848993,40.70470043,55.49336991,67.62069195,82.63862216,96.43859178,98.80139747,99.29158828,99.34533376,99.36050035,99.5624832,97.95922784,94.85979292,0,0.005194708,0.01606011,0.020776166,0.029216008,0.146550894,0.231934264,0.318539888,0.395604342,0.629610777,0.67724514,0.703970313,0.748898149,0.809233725,0.814206243,0.722992301,0.838811696,-0.010406374,-0.000623463,0.021355066,0.042489655,0.081188478,0.152005464,0.200541392,0.27891168,0.279232949,0.270348191,0.283422291,0.268540084,0.279358894,0.281397641,0.28320998,0.24348928,0.011876628,52.14
5,0.001838055,0.012866386,3.451900746,12.35055632,17.10150216,31.55378679,45.40154015,55.14431116,70.40092898,87.13356625,95.44626594,98.36708454,98.66595001,99.42678478,99.7441548,97.32405644,96.86093317,0,0.005480216,0.012034626,0.013738517,0.021188498,0.115153879,0.173225373,0.231961474,0.297563523,0.403797239,0.485104114,0.566072583,0.610405385,0.704360604,0.715573728,0.613202631,0.754482508,-0.010545976,-0.006550638,0.011942799,0.030365547,0.053170454,0.117762096,0.153942391,0.2328991,0.234781697,0.229267836,0.251223058,0.252245754,0.254648417,0.278342992,0.27113238,0.25568819,0.016919155,51.66
6,0.006722895,0.19115773,8.688309709,16.78463649,20.45062972,34.95352957,49.22237464,58.56177822,72.80963268,85.61891965,87.92475141,90.73689868,91.9061395,93.5054536,94.2094478,92.03060076,90.83059211,0,0.007832583,0.021871695,0.022289209,0.03619973,0.161088422,0.231844425,0.307912529,0.384438455,0.539907455,0.597956061,0.631107092,0.661595166,0.72213918,0.729310215,0.635404766,0.747972071,-0.013262467,-0.002215746,0.017517244,0.03721521,0.074569933,0.139990509,0.181635916,0.262193084,0.254024833,0.232298464,0.246009961,0.242638245,0.247531399,0.258677632,0.245335743,0.224078596,0.012465372,42.53
7,0.011028331,0.18993236,11.31839659,21.03448276,26.40637353,42.60841078,59.02212443,68.82935331,81.37052279,92.95780704,95.43983714,97.17065305,97.38779898,99.07050727,98.96909433,95.7745412,88.88828774,0,0.008466971,0.023924354,0.024440128,0.053141627,0.166828454,0.245139018,0.316527605,0.39124763,0.584489942,0.561447203,0.594351172,0.620013714,0.694884181,0.694424629,0.574595749,0.701063395,-0.021050859,0.003482463,0.022346117,0.05180442,0.102425344,0.169711888,0.216144189,0.288761407,0.267979681,0.24596557,0.274569064,0.273805559,0.279285729,0.275669456,0.249009132,0.205383465,0.007296311,46.83
8,0,0.207700225,11.07627429,18.98978814,25.12376087,39.05457546,55.96463954,63.87723439,76.19545288,87.51948401,92.64176297,96.64095146,96.01504972,97.48528393,97.59167386,92.27514716,82.07345048,0,0.008451014,0.02413898,0.024767628,0.05449326,0.159112886,0.238421768,0.303230733,0.353216022,0.507779717,0.440994769,0.507557094,0.539946616,0.626600802,0.6380983,0.498724729,0.636611402,-0.019996125,0.002379337,0.018361691,0.048634313,0.091553099,0.159504861,0.195799857,0.266092867,0.250084758,0.231318057,0.260080427,0.264701247,0.264733613,0.258526295,0.246397302,0.202389687,0.002982942,47.53
9,0,0.113959416,8.82731291,16.88462125,23.30680191,37.68108908,54.68952451,63.33512427,75.87562872,87.42273582,92.83525934,97.01263101,96.90560377,97.90255341,97.80489116,95.65335007,93.25927524,0,0.008116285,0.02112828,0.019052111,0.043892831,0.13745822,0.211926535,0.273109943,0.323368669,0.479612976,0.404565841,0.494166851,0.533250272,0.619438648,0.628796339,0.494659454,0.648703873,-0.016663834,-0.001669395,0.013400307,0.043570261,0.083734684,0.150806502,0.194024369,0.269173115,0.248199344,0.230835319,0.25349018,0.269847572,0.267598718,0.261113524,0.274670541,0.234593362,0.006476127,43.48
