,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
30,0.00735222,0.0,2.218564243,4.602347203,6.627193089,13.97267587,20.54699914,26.41368194,39.40679774,56.54608976,57.48024725,62.66795243,66.43375437,73.00243182,77.66609146,71.81257599,77.66836911,0,0.003866815,0.008646502,0.005169806,0.012351649,0.091403961,0.154210135,0.218534738,0.268273294,0.244224206,0.229215801,0.302410215,0.37789917,0.380758464,0.453714937,0.376291156,0.448915929,-0.009222656,-0.012479388,0.000897947,0.005311015,0.015065505,0.039371636,0.057239808,0.109436452,0.138206631,0.125951424,0.133590415,0.145647556,0.156908378,0.164927006,0.168662369,0.195337728,0.032893896,5
31,0.491373395,0.003063425,0.821825941,1.306330962,2.111536824,4.586754242,7.334857491,9.270807551,17.53513184,31.75920451,30.6139505,31.41521096,37.88551465,49.08673823,58.99059393,60.20494287,75.16771988,0,0.003751431,0.007215825,0.004972368,0.013928816,0.050666969,0.11326424,0.175442114,0.222653612,0.204305202,0.213883683,0.26879859,0.351719856,0.334672391,0.411256492,0.38176617,0.477229774,-0.009479785,-0.013097365,-0.005670089,-0.004000387,-0.005263517,0.009279985,0.017469,0.044048876,0.070537999,0.061718352,0.057968952,0.07830853,0.107682645,0.136192724,0.156333327,0.193967968,0.066458873,5
32,0.073522204,0.032472307,0.067840117,0.139003201,0.48957003,1.46569924,2.666544432,3.820457269,7.529641853,24.0107498,17.73931739,15.11518269,19.176042,25.09954986,32.08045729,35.72216932,55.09275237,0,0.004528936,0.006502178,0.004369696,0.013013236,0.00747702,0.0279855,0.031060765,0.113562316,0.082821049,0.0459878,0.120622389,0.189731583,0.216803804,0.318137169,0.295900136,0.379418373,-0.01433778,-0.02012823,-0.005600656,-0.005358383,-0.011803957,-0.003156356,0.003763341,0.014210842,0.039325062,0.030983396,0.02192387,0.0364643,0.049910914,0.070725255,0.084951274,0.121534295,0.047936425,5
33,0.162361533,0.0,0.073769242,0.23532998,0.689169842,1.166007426,1.857033989,2.066417546,4.165218717,14.0478366,11.43671056,13.11367912,20.18489653,31.70663089,38.85407149,37.81488054,52.35240651,0,0.004088243,0.007536585,0.004755694,0.024821123,0.014949515,0.023568556,0.074914083,0.116622344,0.074736372,0.08406838,0.101071104,0.158796206,0.194567353,0.343843669,0.29576394,0.345476747,-0.019319637,-0.019525096,-0.005685615,0.007831434,-0.007432604,-0.002268228,-0.001847521,0.007903256,0.019774485,0.016578764,0.020474279,0.041076954,0.06642174,0.088152029,0.092933543,0.122995608,0.047355503,5
34,1.224144692,0.012253701,0.123761622,0.237768633,0.918932068,16.55038948,47.72399462,31.91567712,35.91708581,53.44047299,23.40726455,9.509271701,11.59541412,19.86127943,22.13168503,24.00341932,71.94317001,0,0.004321047,0.009586337,0.005778119,0.023549737,0.023609489,0.019124467,0.126347512,0.187808201,0.329249769,0.282697022,0.15806137,0.216752157,0.261466324,0.451278955,0.371584654,0.188754499,-0.006267898,-0.015422814,-0.002013054,0.002069686,0.019189157,0.069921769,0.074320681,0.097682104,0.118044533,0.053833976,0.036393583,0.033601817,0.055497605,0.058578964,0.061342616,0.137633324,0.091572575,5
70,0.09251544,0.209538281,0.400928982,0.244474928,0.665936873,3.256570167,5.031982159,6.978250082,11.7650654,18.29723193,20.68153722,24.97650476,29.06996678,36.90596782,42.10094909,38.33702449,46.9107081,0,0.051616907,0.019100044,0.023074625,0.018129915,0.029383501,0.196277678,0.107717492,0.193754703,0.09967383,0.078327455,0.136658654,0.203404844,0.239932939,0.313631654,0.259628981,0.311047852,-0.007126438,-0.010118585,-0.004796654,-0.003904608,-0.003027508,0.00190746,0.009041385,0.022771595,0.03454176,0.033117924,0.039956417,0.051135357,0.071065575,0.078017771,0.080853961,0.097289823,0.026295891,5
71,0.0,0.023894716,0.111844518,0.136836344,0.74439872,2.612053761,4.719471947,6.825141308,10.76518763,16.41171728,19.64534448,24.31479696,31.09075324,38.45752996,44.98253158,45.95091759,53.42581371,0,0.005299373,0.00915883,0.005431716,0.01737169,0.014395844,0.043381605,0.061516922,0.12004102,0.119557984,0.093898371,0.178377017,0.258644432,0.266835153,0.400512934,0.364340365,0.47452572,-0.014151854,-0.014825629,-0.003074975,5.18e-05,-0.009024128,0.000215863,0.010141129,0.022214491,0.035262816,0.036955897,0.037443455,0.061365791,0.083345644,0.102340601,0.126761213,0.149176553,0.045048758,5
72,0.0,0.0,0.081487109,0.314586191,1.307727481,4.4474508,7.675105382,12.33043753,18.79656406,29.78446654,32.76323569,43.41278995,51.66602589,61.00073823,71.13783434,70.3839162,78.68097498,0,0.005718813,0.010713382,0.006379697,0.027455365,0.014987445,0.039608907,0.061724968,0.120099247,0.12862727,0.105507925,0.207510918,0.280403852,0.315230846,0.424333066,0.392338395,0.503606379,-0.016582744,-0.017678957,-0.00152037,-0.003947962,-0.006156491,0.00248995,0.020350963,0.042984881,0.063865088,0.059808105,0.080887012,0.104034998,0.139473334,0.16649659,0.190758422,0.212705657,0.056551971,5
73,0.0,0.000612685,0.67473414,1.67413504,4.140363681,8.874881701,14.31609828,20.19825468,29.41816404,51.54205859,50.26498253,61.69720347,69.88856745,76.56005732,83.27223865,80.30968663,83.75930575,0,0.005137867,0.014238731,0.007045429,0.038506772,0.032360714,0.073331378,0.103297487,0.159359366,0.208754241,0.182325318,0.2831707,0.373982579,0.431549698,0.53428036,0.476106972,0.563146532,-0.019708676,-0.017759819,0.000552377,-0.001844744,0.006392407,0.025852665,0.041872498,0.081738226,0.11506182,0.100605324,0.124205634,0.152857184,0.188334242,0.209933549,0.222063795,0.222652987,0.056455981,5
74,0.898196255,0.218728556,2.09265371,3.800030483,7.153787532,23.84309253,45.04460347,37.36459254,49.64246425,60.9975813,46.82631523,49.95071253,55.49040967,57.67109606,58.49932814,63.95429363,81.13205506,0,0.057679396,0.024666518,0.027328167,0.03038168,0.058688439,0.089661352,0.137394145,0.208872557,0.406899661,0.357921302,0.473070472,0.52300185,0.54271543,0.603093028,0.516890824,0.496821851,-0.006803069,-0.01075545,0.005025704,0.00818502,0.035073753,0.088012427,0.088328958,0.151361898,0.166510865,0.10642866,0.12003547,0.134735316,0.152397558,0.14320226,0.145957977,0.177701786,0.085790507,5
114,0.0,0.0,0.074988569,0.522410752,1.466885605,5.17362712,7.410463269,10.8850642,16.47797592,23.4238108,25.71413265,32.04328726,39.63880677,47.2609432,56.02601281,53.21239361,59.92901662,0,0.006057705,0.009926684,0.006127893,0.020701958,0.033132952,0.051726315,0.068292983,0.12873356,0.121162869,0.073176078,0.180969015,0.259667128,0.282321692,0.411685109,0.336336493,0.447376817,-0.016997768,-0.017300146,-0.006291989,-0.005380315,-0.005049069,0.001812637,0.016081259,0.040684402,0.050142698,0.045114793,0.064785048,0.081372201,0.107096791,0.136699736,0.142134145,0.156369388,0.03158737,5
115,0.0,0.005514165,0.367017223,0.865102283,1.847889041,6.077966308,9.627190977,15.63064069,21.89056546,32.6664875,35.52800205,41.89088955,48.58586402,55.46983206,61.62424504,56.84080679,60.41161704,0,0.006155045,0.010730646,0.006977376,0.017375121,0.021833679,0.053808779,0.066163994,0.12381158,0.133793518,0.067543216,0.162001759,0.209248647,0.258776248,0.344575137,0.259710461,0.365997493,-0.014405843,-0.016815875,-0.001271111,-0.00539284,-0.005441866,0.005418313,0.028829068,0.052846443,0.066792384,0.06482742,0.082837701,0.094615914,0.118639864,0.128506929,0.135082483,0.147489235,0.028503446,5
