,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
135,0.200283613,22.45631507,79.33781242,97.41144854,97.38882481,98.65932306,93.02934557,1.462581923,0.233500991,0.253603357,-0.003036418,0.033367388,0.184578657,0.300984025,0.224301279,0.264923602,0.227583498,0.017560411,-0.029031899,-0.052615125,2
149,0.316538787,23.88003622,78.12953507,96.93630744,98.80852888,99.69154443,97.10872576,1.29797287,0.158730159,0.119807821,-0.008697405,0.034180623,0.18293111,0.30073005,0.244102702,0.282379866,0.234345838,0.015758956,-0.029627547,-0.051448304,2
151,0.46289543,24.52738796,76.8589089,95.07014243,98.36601307,99.45247576,95.05929709,1.55829904,0.240831965,0.47248895,-0.004261745,0.036589146,0.176419586,0.268304527,0.221287563,0.25940457,0.222174078,0.018785486,-0.030998291,-0.047704935,2
164,0.340850522,19.35176401,69.52109648,92.38187078,95.59143919,96.81007618,92.33606557,4.770614236,0.149607736,0.214601433,-0.005321354,0.030707948,0.173232809,0.265599221,0.229911372,0.270563811,0.219602838,0.032987006,-0.019486059,-0.03547933,2
181,0.328455821,25.6785876,75.40553615,94.69712443,95.29626058,97.57333909,93.4221347,3.254381954,0.129219345,0.148148148,-0.00653558,0.041208535,0.180773586,0.276198953,0.218457609,0.260811299,0.234424949,0.022145519,-0.028130971,-0.043737259,2
199,0.351547685,27.23811679,77.73501747,94.54340231,98.43649878,99.75653566,96.03964681,4.360920591,0.206265622,0.238378296,-0.009156582,0.041105416,0.18346405,0.271193445,0.233414933,0.27975741,0.225765839,0.027905423,-0.023908842,-0.038652275,2
217,0.255836732,21.77485657,65.45552271,94.73367374,98.27310009,99.14192348,97.01675035,4.023346779,0.059137327,0.140485313,-0.012091661,0.036093179,0.158433691,0.279689431,0.250918537,0.278635144,0.243525073,0.039098453,-0.028662134,-0.041929208,2
218,0.348630277,26.54685378,73.75006719,92.21284601,97.07911487,99.32695637,95.48021988,3.096809681,0.131971052,0.250562549,-0.010152822,0.04285223,0.176713407,0.257077962,0.231119648,0.280227363,0.234217867,0.02565746,-0.025267977,-0.035796747,2
237,0.469702716,24.84707516,75.49798441,96.42999194,98.59135375,99.05644044,94.12963762,2.758725804,0.09548136,0.14083219,-0.004476402,0.041610174,0.185657978,0.281204969,0.244217277,0.259176016,0.223788843,0.029386984,-0.027982114,-0.045997377,2
238,0.352228842,22.94394001,71.94302607,93.01048105,97.0257166,99.36807479,95.45081967,3.304983996,0.14863258,0.205456485,-0.008825904,0.041699246,0.175337464,0.265171289,0.239959687,0.27922225,0.244018599,0.027582334,-0.02370899,-0.039492443,2
256,0.272405206,22.03168855,70.51652782,97.80670738,97.5276603,98.90062327,95.44234765,1.61804603,0.087966221,0.313976528,-0.005623072,0.036865856,0.176834583,0.306135505,0.245301723,0.262632817,0.232639715,0.023934795,-0.03300599,-0.044045545,2
257,0.433704175,25.13529385,76.11394786,97.36633451,99.1595113,99.76843837,97.08600242,3.786617894,0.072979383,0.237768633,-0.004172923,0.046663802,0.190456748,0.297621965,0.260362834,0.273658484,0.239904791,0.029848967,-0.026100935,-0.039888777,2
258,0.256245685,26.50928022,73.95001344,95.36269152,99.04844291,99.75220741,98.03064404,2.253315043,0.118906064,0.223136717,-0.007031789,0.046553604,0.178386509,0.272255152,0.252305031,0.279648691,0.251497835,0.019153066,-0.025526956,-0.041260522,2
277,0.25145096,23.17111815,72.61918839,98.92932008,98.94485027,99.61065574,95.88382964,2.827617741,0.12345679,0.230452675,-0.007165779,0.042989876,0.182338044,0.32137084,0.259236395,0.277459592,0.266187698,0.034132276,-0.026579067,-0.046589237,2
278,0.183227831,27.85065727,79.12281645,98.25853265,99.33786151,99.66134599,95.7777874,4.181069959,0.190824569,0.179850633,-0.007661504,0.04818359,0.196561977,0.305011064,0.259402454,0.277266413,0.252427727,0.029550392,-0.024606125,-0.041738961,2
279,0.109402807,28.66500679,74.7626982,95.4238108,99.18941433,99.65811044,97.92568386,1.435756744,0.135011859,0.226185033,-0.006560708,0.049202178,0.182710424,0.269541949,0.263530672,0.287136346,0.256727725,0.017725948,-0.022291137,-0.04341739,2
299,0.160943684,25.15844273,77.37919914,98.32303144,98.52407194,99.23173476,94.02268006,2.633135193,0.154092553,0.178021643,-0.007481642,0.05065136,0.197539866,0.301652193,0.267846107,0.285719246,0.274376899,0.026805433,-0.023848414,-0.044517286,2
300,0.086063541,28.65474093,82.55200215,98.34345606,99.72339698,99.9372403,97.77960526,1.875933547,0.150215897,0.145099832,-0.008105545,0.04881255,0.207673445,0.298908114,0.266995609,0.284739017,0.259897918,0.024040326,-0.025929339,-0.044760402,2
319,0.136933565,21.98942946,78.3413061,96.91631844,98.76756803,99.71217105,91.97368421,4.314586191,0.302392928,0.490786353,-0.006089019,0.036980845,0.197047904,0.30130583,0.272115737,0.280906469,0.2152147,0.0280935,-0.023849146,-0.047585476,2
320,0.182338011,24.04661878,76.33001881,97.15775329,95.05638857,97.36949957,87.81940339,1.678402683,0.15933832,0.332876086,-0.006346433,0.043724522,0.197012484,0.295461863,0.264868766,0.274882287,0.182208613,0.013226955,-0.02826076,-0.046955604,2
321,0.12816202,32.30564214,80.36119323,96.92985757,99.43291042,99.81172091,96.50992235,2.241731443,0.152040382,0.187776254,-0.006697631,0.064011991,0.198548794,0.285279244,0.25733006,0.280341029,0.263003767,0.02162688,-0.026048208,-0.042842865,2
322,0.09307584,29.13618312,80.66433754,96.71916152,99.72446495,99.89179363,98.04465056,2.014327084,0.15241579,0.171925011,-0.005937241,0.051999692,0.204057038,0.277910918,0.256891906,0.288745493,0.259981215,0.023647778,-0.023909569,-0.047469668,2
340,0.173099552,26.79764599,77.83069067,95.52378393,95.76995431,97.265625,89.96061288,1.703398872,0.090007906,0.161162805,-0.005961937,0.04040302,0.200427413,0.295055419,0.246653438,0.251677364,0.177497432,0.013261244,-0.027211266,-0.039753526,2
341,0.179816675,26.27365948,83.95915077,99.07336737,99.51891139,99.84742902,96.43460007,3.308641975,0.175932442,0.241440126,-0.006740139,0.044300556,0.217610627,0.328897655,0.277516097,0.281149924,0.220445618,0.022625754,-0.026570467,-0.05467337,2
342,0.210029775,22.19013128,79.11421661,98.53744777,98.5653059,99.43516274,97.78609765,2.372809023,0.190354558,0.463490985,-0.002646167,0.044310968,0.200714573,0.314480156,0.289529294,0.291843593,0.251167983,0.01942757,-0.030527629,-0.04879719,2
